"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Nuclear Regulatory Commission","Agency Overall","2013","2673418.00","0.00","2673418.00","12543.00","0.4700"
"National Transportation Safety Board","Agency Overall","2013","505043.50","2319.42","507362.92","339.30","0.0700"
"Federal Energy Regulatory Commission","Agency Overall","2013","654091.00","0.00","654091.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2013","658434.38","63215.36","721649.74","31432.86","4.7700"
"Office of Special Counsel","Agency Overall","2013","266000.00","0.00","266000.00","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","10400.00","0.00","10400.00","0.00","0.0000"
"Consumer Financial Protection Bureau","Agency Overall","2013","579122.00","5000.00","584122.00","3086.80","0.5300"
"Farm Credit Administration","Agency Overall","2013","33014.00","0.00","33014.00","0.00","0.0000"
"Small Business Administration","Agency Overall","2013","1636885.00","0.00","1636885.00","13668.40","0.8400"
"Office of Personnel Management","Agency Overall","2013","1380668.61","5800.00","1386468.61","6977.00","0.5100"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0.00","0.00","0.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2013","302737.00","0.00","302737.00","956.79","0.3200"
"Department of Defense","Agency Overall","2013","78907176.00","4554617.00","83461793.00","769096.00","0.9700"
"United States African Development Foundation","Agency Overall","2013","5961.00","0.00","5961.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2013","44296.00","0.00","44296.00","159.24","0.3600"
"Central Intelligence Agency","Agency Overall","2013","10820000.00","1900000.00","12720000.00","1942.50","0.0200"
"U.S. Agency for Global Media","Agency Overall","2013","131570.00","0.00","131570.00","722.35","0.5500"
"Inter-American Foundation","Agency Overall","2013","10000.00","0.00","10000.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2013","9646.60","0.00","9646.60","0.00","0.0000"
"U.S. Department of State","Agency Overall","2013","16746305.15","883923.70","17630228.85","6743.32","0.0400"
"Department of Veterans Affairs","Agency Overall","2013","17769873.53","141539.25","17911412.78","92672.70","0.5200"
"Office of Management and Budget","Agency Overall","2013","215000.00","52000.00","267000.00","430.00","0.2000"
"National Indian Gaming Commission","Agency Overall","2013","224485.00","0.00","224485.00","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","77036.00","0.00","77036.00","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2013","43000.00","0.00","43000.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2013","245002.00","14000.00","259002.00","614.90","0.2500"
"Tennessee Valley Authority","Agency Overall","2013","201951.00","6610.00","208561.00","3137.70","1.5500"
"Commodity Futures Trading Commission","Agency Overall","2013","248546.80","0.00","248546.80","291.90","0.1200"
"National Railroad Passenger Corporation","Agency Overall","2013","110000.00","0.00","110000.00","2199.25","2.0000"
"Export-Import Bank of the U.S.","Agency Overall","2013","256533.06","0.00","256533.06","1041.10","0.4100"
"Department of Energy","Agency Overall","2013","10787079.30","300875.00","11087954.30","13608.26","0.1300"
"Administrative Conference of the United States","Agency Overall","2013","28161.00","0.00","28161.00","0.00","0.0000"
"Department of Education","Agency Overall","2013","3399135.80","138831.00","3537966.80","10808.53","0.3200"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","57408.00","0.00","57408.00","0.00","0.0000"
"Federal Election Commission","Agency Overall","2013","193062.17","11869.33","204931.50","0.00","0.0000"
"All agencies","Agency Overall","2013","419610391.15","27181942.31","446792333.46","4343704.66","N/A"
