"Agency","Component","Fiscal Year","Total"
"Office of Science and Technology Policy","Agency Overall","2013","0"
"Department of Justice","Agency Overall","2013","895"
"Court Services and Offender Supervision Agency","Agency Overall","2013","5"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0"
"National Endowment for the Arts","Agency Overall","2013","3"
"Federal Communications Commission","Agency Overall","2013","37"
"United States Trade and Development Agency","Agency Overall","2013","0"
"National Labor Relations Board","Agency Overall","2013","0"
"Federal Open Market Committee","Agency Overall","2013","0"
"National Capital Planning Commission","Agency Overall","2013","0"
"Postal Regulatory Commission","Agency Overall","2013","0"
"American Battle Monuments Commission","Agency Overall","2013","0"
"Federal Labor Relations Authority","Agency Overall","2013","0"
"Selective Service System","Agency Overall","2013","0"
"Peace Corps","Agency Overall","2013","0"
"U.S. Commission on Civil Rights","Agency Overall","2013","0"
"Department of Agriculture","Agency Overall","2013","125"
"National Credit Union Administration","Agency Overall","2013","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0"
"Environmental Protection Agency","Agency Overall","2013","0"
"Consumer Product Safety Commission","Agency Overall","2013","16"
"Federal Reserve System","Agency Overall","2013","42"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0"
"Overseas Private Investment Corporation","Agency Overall","2013","0"
"Department of Commerce","Agency Overall","2013","46"
"U.S. Railroad Retirement Board","Agency Overall","2013","0"
"United States International Trade Commission","Agency Overall","2013","0"
"Securities and Exchange Commission","Agency Overall","2013","375"
"Department of Transportation","Agency Overall","2013","105"
"Millennium Challenge Corporation","Agency Overall","2013","0"
"Social Security Administration","Agency Overall","2013","0"
"Department of Health and Human Services","Agency Overall","2013","2129"
"Armed Forces Retirement Home","Agency Overall","2013","0"
"Federal Housing Finance Agency","Agency Overall","2013","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0"
"Department of the Interior","Agency Overall","2013","503"
"United States Postal Service","Agency Overall","2013","32"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0"
"Institute of Museum and Library Services","Agency Overall","2013","3"
"Equal Employment Opportunity Commission","Agency Overall","2013","987"
"General Services Administration","Agency Overall","2013","0"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0"
"Department of Homeland Security","Agency Overall","2013","1210"
"Office of Government Ethics","Agency Overall","2013","0"
"National Archives and Records Administration","Agency Overall","2013","897"
"Legal Services Corporation","Agency Overall","2013","0"
"National Mediation Board","Agency Overall","2013","0"
"Office of the Director of National Intelligence","Agency Overall","2013","68"
"Merit Systems Protection Board","Agency Overall","2013","0"
"Office of National Drug Control Policy","Agency Overall","2013","0"
"Department of Housing and Urban Development","Agency Overall","2013","0"
"National Aeronautics and Space Administration","Agency Overall","2013","0"
"Federal Mediation and Conciliation Service","Agency Overall","2013","2"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","1"
"U.S. Agency for International Development","Agency Overall","2013","2"
"Department of the Treasury","Agency Overall","2013","48"
"Federal Maritime Commission","Agency Overall","2013","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0"
"Department of Labor","Agency Overall","2013","382"
"Federal Deposit Insurance Corporation","Agency Overall","2013","12"
"National Endowment for the Humanities","Agency Overall","2013","0"
"Nuclear Regulatory Commission","Agency Overall","2013","40"
"National Transportation Safety Board","Agency Overall","2013","0"
"Federal Energy Regulatory Commission","Agency Overall","2013","1"
"Federal Trade Commission","Agency Overall","2013","10"
"Office of Special Counsel","Agency Overall","2013","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","0"
"Farm Credit Administration","Agency Overall","2013","0"
"Small Business Administration","Agency Overall","2013","32"
"Office of Personnel Management","Agency Overall","2013","5"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0"
"National Science Foundation","Agency Overall","2013","1"
"Department of Defense","Agency Overall","2013","3314"
"United States African Development Foundation","Agency Overall","2013","0"
"Surface Transportation Board","Agency Overall","2013","0"
"Central Intelligence Agency","Agency Overall","2013","465"
"U.S. Agency for Global Media","Agency Overall","2013","0"
"Inter-American Foundation","Agency Overall","2013","0"
"United States Copyright Office","Agency Overall","2013","0"
"U.S. Department of State","Agency Overall","2013","38"
"Department of Veterans Affairs","Agency Overall","2013","15"
"Office of Management and Budget","Agency Overall","2013","0"
"National Indian Gaming Commission","Agency Overall","2013","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0"
"Council on Environmental Quality","Agency Overall","2013","0"
"Office of the United States Trade Representative","Agency Overall","2013","0"
"Tennessee Valley Authority","Agency Overall","2013","0"
"Commodity Futures Trading Commission","Agency Overall","2013","0"
"National Railroad Passenger Corporation","Agency Overall","2013","0"
"Export-Import Bank of the U.S.","Agency Overall","2013","0"
"Department of Energy","Agency Overall","2013","0"
"Administrative Conference of the United States","Agency Overall","2013","0"
"Department of Education","Agency Overall","2013","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0"
"Federal Election Commission","Agency Overall","2013","0"
"All agencies","Agency Overall","2013","11847"
