"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Council on Environmental Quality","Agency Overall","2013","223","223","223","223"
"Office of the United States Trade Representative","Agency Overall","2013","30","28","24","31"
"Tennessee Valley Authority","Agency Overall","2013","15","15","10","20"
"Commodity Futures Trading Commission","Agency Overall","2013","18.5","74.17","11","355"
"National Railroad Passenger Corporation","Agency Overall","2013","43.5","43.5","39","48"
"Export-Import Bank of the U.S.","Agency Overall","2013","66","66","44","88"
"Department of Energy","Agency Overall","2013","15.5","45.51","1","530"
"Administrative Conference of the United States","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2013","141.5","156.14","<1","976"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","19","19","19","19"
"Federal Election Commission","Agency Overall","2013","2","2","2","2"
