"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Office of Science and Technology Policy","Agency Overall","2013","0","0.70","0.70"
"Department of Justice","Agency Overall","2013","421","80.39","501.39"
"Court Services and Offender Supervision Agency","Agency Overall","2013","2","0.00","2.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0.75","0.75"
"National Endowment for the Arts","Agency Overall","2013","0","0.60","0.60"
"Federal Communications Commission","Agency Overall","2013","5","21.55","26.55"
"United States Trade and Development Agency","Agency Overall","2013","0","0.10","0.10"
"National Labor Relations Board","Agency Overall","2013","2","5.00","7.00"
"Federal Open Market Committee","Agency Overall","2013","0","1.11","1.11"
"National Capital Planning Commission","Agency Overall","2013","0","0.05","0.05"
"Postal Regulatory Commission","Agency Overall","2013","0","3.00","3.00"
"American Battle Monuments Commission","Agency Overall","2013","0","0.02","0.02"
"Federal Labor Relations Authority","Agency Overall","2013","0","1.12","1.12"
"Selective Service System","Agency Overall","2013","0","0.15","0.15"
"Peace Corps","Agency Overall","2013","0","0.85","0.85"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0.25","0.25"
"Department of Agriculture","Agency Overall","2013","132","206.53","338.53"
"National Credit Union Administration","Agency Overall","2013","0","2.23","2.23"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","0.50","0.50"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","10","2.00","12.00"
"Environmental Protection Agency","Agency Overall","2013","46","68.06","114.06"
"Consumer Product Safety Commission","Agency Overall","2013","7","2.00","9.00"
"Federal Reserve System","Agency Overall","2013","9","12.00","21.00"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0.16","0.16"
"Overseas Private Investment Corporation","Agency Overall","2013","0","1.20","1.20"
"Department of Commerce","Agency Overall","2013","4","32.75","36.75"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","3.00","3.00"
"United States International Trade Commission","Agency Overall","2013","0","1.50","1.50"
"Securities and Exchange Commission","Agency Overall","2013","29","1.92","30.92"
"Department of Transportation","Agency Overall","2013","36","61.94","97.94"
"Millennium Challenge Corporation","Agency Overall","2013","0","0.15","0.15"
"Social Security Administration","Agency Overall","2013","22","38.00","60.00"
"Department of Health and Human Services","Agency Overall","2013","162","137.06","299.06"
"Armed Forces Retirement Home","Agency Overall","2013","0","0.00","0.00"
"Federal Housing Finance Agency","Agency Overall","2013","1","1.50","2.50"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","2.00","2.00"
"Department of the Interior","Agency Overall","2013","44","92.29","136.29"
