"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"United States Postal Service","Agency Overall","2013","11","33.00","44.00"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","0.12","0.12"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0.20","0.20"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0.04","0.04"
"Institute of Museum and Library Services","Agency Overall","2013","0","0.15","0.15"
"Equal Employment Opportunity Commission","Agency Overall","2013","30","8.93","38.93"
"General Services Administration","Agency Overall","2013","11","12.00","23.00"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0.40","0.40"
"Department of Homeland Security","Agency Overall","2013","393","210.66","603.66"
"Office of Government Ethics","Agency Overall","2013","0","2.00","2.00"
"National Archives and Records Administration","Agency Overall","2013","9","26.00","35.00"
"Legal Services Corporation","Agency Overall","2013","0","0.60","0.60"
"National Mediation Board","Agency Overall","2013","0","0.40","0.40"
"Office of the Director of National Intelligence","Agency Overall","2013","2","2.00","4.00"
"Merit Systems Protection Board","Agency Overall","2013","1","1.00","2.00"
"Office of National Drug Control Policy","Agency Overall","2013","0","0.40","0.40"
"Department of Housing and Urban Development","Agency Overall","2013","7","31.77","38.77"
"National Aeronautics and Space Administration","Agency Overall","2013","13","2.14","15.14"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","1.00","1.00"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","0","1.00","1.00"
"U.S. Agency for International Development","Agency Overall","2013","10","8.90","18.90"
"Department of the Treasury","Agency Overall","2013","38","94.45","132.45"
"Federal Maritime Commission","Agency Overall","2013","1","0.30","1.30"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","0","1.15","1.15"
"Department of Labor","Agency Overall","2013","39","115.04","154.04"
"Federal Deposit Insurance Corporation","Agency Overall","2013","9","6.30","15.30"
"National Endowment for the Humanities","Agency Overall","2013","0","1.75","1.75"
"Nuclear Regulatory Commission","Agency Overall","2013","13","8.00","21.00"
"National Transportation Safety Board","Agency Overall","2013","3","6.00","9.00"
"Federal Energy Regulatory Commission","Agency Overall","2013","1","3.21","4.21"
"Federal Trade Commission","Agency Overall","2013","1","8.54","9.54"
"Office of Special Counsel","Agency Overall","2013","1","1.00","2.00"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0.25","0.25"
"Consumer Financial Protection Bureau","Agency Overall","2013","5","0.00","5.00"
"Farm Credit Administration","Agency Overall","2013","0","1.00","1.00"
"Small Business Administration","Agency Overall","2013","3","12.00","15.00"
"Office of Personnel Management","Agency Overall","2013","11","3.80","14.80"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0.00","0.00"
"National Science Foundation","Agency Overall","2013","0","3.66","3.66"
"Department of Defense","Agency Overall","2013","342","356.47","698.47"
"United States African Development Foundation","Agency Overall","2013","0","0.04","0.04"
"Surface Transportation Board","Agency Overall","2013","0","0.25","0.25"
"Central Intelligence Agency","Agency Overall","2013","65","27.00","92.00"
"U.S. Agency for Global Media","Agency Overall","2013","0","1.25","1.25"
"Inter-American Foundation","Agency Overall","2013","0","0.10","0.10"
"United States Copyright Office","Agency Overall","2013","0","0.08","0.08"
"U.S. Department of State","Agency Overall","2013","83","74.42","157.42"
"Department of Veterans Affairs","Agency Overall","2013","23","151.65","174.65"
"Office of Management and Budget","Agency Overall","2013","1","1.50","2.50"
"National Indian Gaming Commission","Agency Overall","2013","1","1.35","2.35"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","1.50","1.50"
"Council on Environmental Quality","Agency Overall","2013","0","0.75","0.75"
"Office of the United States Trade Representative","Agency Overall","2013","1","1.30","2.30"
"Tennessee Valley Authority","Agency Overall","2013","1","0.40","1.40"
"Commodity Futures Trading Commission","Agency Overall","2013","2","0.90","2.90"
"National Railroad Passenger Corporation","Agency Overall","2013","2","0.00","2.00"
"Export-Import Bank of the U.S.","Agency Overall","2013","1","0.85","1.85"
"Department of Energy","Agency Overall","2013","45","42.19","87.19"
"Administrative Conference of the United States","Agency Overall","2013","0","0.06","0.06"
"Department of Education","Agency Overall","2013","13","31.00","44.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","0","3.00","3.00"
"Federal Election Commission","Agency Overall","2013","0","1.86","1.86"
"All agencies","Agency Overall","2013","2124","2089.51","4213.51"
