"Agency","Component","Fiscal Year","Number of Times Subsection Used"
"Central Intelligence Agency","Agency Overall","2010",""
"Department of Justice","Agency Overall","2010",""
"Department of Housing and Urban Development","Agency Overall","2010",""
"U.S. Agency for International Development","Agency Overall","2010",""
"Department of Education","Agency Overall","2010",""
"Environmental Protection Agency","Agency Overall","2010",""
"Federal Housing Finance Agency","Agency Overall","2010",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2010",""
"Department of Energy","Agency Overall","2010",""
"Peace Corps","Agency Overall","2010",""
"National Archives and Records Administration","Agency Overall","2010",""
"Department of Labor","Agency Overall","2010",""
"Small Business Administration","Agency Overall","2010",""
"National Endowment for the Arts","Agency Overall","2010",""
"Federal Energy Regulatory Commission","Agency Overall","2010",""
"Surface Transportation Board","Agency Overall","2010",""
"Federal Mediation and Conciliation Service","Agency Overall","2010",""
"Federal Deposit Insurance Corporation","Agency Overall","2010",""
"Millennium Challenge Corporation","Agency Overall","2010",""
"Council on Environmental Quality","Agency Overall","2010",""
"National Labor Relations Board","Agency Overall","2010",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010",""
"Postal Regulatory Commission","Agency Overall","2010",""
"Occupational Safety and Health Review Commission","Agency Overall","2010",""
"Department of Transportation","Agency Overall","2010",""
"National Endowment for the Humanities","Agency Overall","2010",""
"Administrative Conference of the United States","Agency Overall","2010",""
"Department of Commerce","Agency Overall","2010",""
"Farm Credit Administration","Agency Overall","2010",""
"United States Trade and Development Agency","Agency Overall","2010",""
"United States International Boundary and Water Commission","Agency Overall","2010",""
"Institute of Museum and Library Services","Agency Overall","2010",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2010",""
"United States Copyright Office","Agency Overall","2010",""
"National Capital Planning Commission","Agency Overall","2010",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010",""
"Federal Open Market Committee","Agency Overall","2010",""
"Department of Veterans Affairs","Agency Overall","2010",""
"Federal Reserve System","Agency Overall","2010",""
"Office of the United States Trade Representative","Agency Overall","2010",""
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010",""
"Overseas Private Investment Corporation","Agency Overall","2010",""
"Department of Homeland Security","Agency Overall","2010",""
"Commodity Futures Trading Commission","Agency Overall","2010",""
"Inter-American Foundation","Agency Overall","2010",""
"Securities and Exchange Commission","Agency Overall","2010",""
"Department of Agriculture","Agency Overall","2010",""
"Consumer Product Safety Commission","Agency Overall","2010",""
"Office of Personnel Management","Agency Overall","2010",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010",""
"U.S. Commission on Civil Rights","Agency Overall","2010",""
"Social Security Administration","Agency Overall","2010",""
"Department of the Treasury","Agency Overall","2010",""
"National Science Foundation","Agency Overall","2010",""
"Office of Management and Budget","Agency Overall","2010",""
"Merit Systems Protection Board","Agency Overall","2010",""
"National Aeronautics and Space Administration","Agency Overall","2010",""
"Export-Import Bank of the U.S.","Agency Overall","2010",""
"Department of the Interior","Agency Overall","2010",""
"Nuclear Regulatory Commission","Agency Overall","2010",""
"Farm Credit System Insurance Corporation","Agency Overall","2010",""
"Office of Special Counsel","Agency Overall","2010",""
"Selective Service System","Agency Overall","2010",""
"Federal Labor Relations Authority","Agency Overall","2010",""
"Legal Services Corporation","Agency Overall","2010",""
"Federal Retirement Thrift Investment Board","Agency Overall","2010",""
"National Railroad Passenger Corporation","Agency Overall","2010",""
"Department of Defense","Agency Overall","2010",""
"United States International Trade Commission","Agency Overall","2010",""
"Office of National Drug Control Policy","Agency Overall","2010",""
"United States Postal Service","Agency Overall","2010",""
"General Services Administration","Agency Overall","2010",""
"Federal Maritime Commission","Agency Overall","2010",""
"National Credit Union Administration","Agency Overall","2010",""
"Office of the Director of National Intelligence","Agency Overall","2010",""
"Court Services and Offender Supervision Agency","Agency Overall","2010",""
"Department of Health and Human Services","Agency Overall","2010",""
"National Transportation Safety Board","Agency Overall","2010",""
"U.S. Railroad Retirement Board","Agency Overall","2010",""
"U.S. Agency for Global Media","Agency Overall","2010",""
"Federal Election Commission","Agency Overall","2010",""
"National Mediation Board","Agency Overall","2010",""
"National Indian Gaming Commission","Agency Overall","2010",""
"U.S. Department of State","Agency Overall","2010",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010",""
"Equal Employment Opportunity Commission","Agency Overall","2010",""
"United States African Development Foundation","Agency Overall","2010",""
"American Battle Monuments Commission","Agency Overall","2010",""
"Office of Science and Technology Policy","Agency Overall","2010",""
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010",""
"Federal Financial Institutions Examination Council","Agency Overall","2010",""
"Pension Benefit Guaranty Corporation","Agency Overall","2010",""
"Federal Communications Commission","Agency Overall","2010",""
"Tennessee Valley Authority","Agency Overall","2010",""
"Office of Government Ethics","Agency Overall","2010",""
"Federal Trade Commission","Agency Overall","2010",""
"All agencies","Agency Overall","2010","0"
