"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"National Railroad Passenger Corporation","Agency Overall","2015","2","0.00","2.00"
"Consumer Financial Protection Bureau","Agency Overall","2015","5","0.00","5.00"
"United States African Development Foundation","Agency Overall","2015","0","0.04","0.04"
"Inter-American Foundation","Agency Overall","2015","0","0.10","0.10"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2015","0","1.50","1.50"
"Federal Deposit Insurance Corporation","Agency Overall","2015","6","6.50","12.50"
"National Science Foundation","Agency Overall","2015","0","2.38","2.38"
"Office of National Drug Control Policy","Agency Overall","2015","0","0.40","0.40"
"U.S. Agency for Global Media","Agency Overall","2015","0","1.25","1.25"
"U.S. Department of State","Agency Overall","2015","82","87.75","169.75"
"Department of Veterans Affairs","Agency Overall","2015","20","186.70","206.70"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","0","1.00","1.00"
"Tennessee Valley Authority","Agency Overall","2015","1","0.50","1.50"
"Social Security Administration","Agency Overall","2015","9","35.00","44.00"
"Office of the Director of National Intelligence","Agency Overall","2015","3","6.00","9.00"
"Department of Energy","Agency Overall","2015","53","40.95","93.95"
"Federal Maritime Commission","Agency Overall","2015","1","0.29","1.29"
"Department of Homeland Security","Agency Overall","2015","397","200.57","597.57"
"United States Copyright Office","Agency Overall","2015","0","0.17","0.17"
"United States Postal Service","Agency Overall","2015","12","20.50","32.50"
"Federal Energy Regulatory Commission","Agency Overall","2015","1","2.88","3.88"
"Small Business Administration","Agency Overall","2015","2","12.00","14.00"
"Farm Credit System Insurance Corporation","Agency Overall","2015","0","0.00","0.00"
"Institute of Museum and Library Services","Agency Overall","2015","0","0.15","0.15"
"National Indian Gaming Commission","Agency Overall","2015","1","1.08","2.08"
"U.S. Railroad Retirement Board","Agency Overall","2015","0","3.00","3.00"
"Federal Trade Commission","Agency Overall","2015","1","25.00","26.00"
"Nuclear Regulatory Commission","Agency Overall","2015","15","4.00","19.00"
"Federal Financial Institutions Examination Council","Agency Overall","2015","0","0.40","0.40"
"Export-Import Bank of the U.S.","Agency Overall","2015","3","0.58","3.58"
"Federal Retirement Thrift Investment Board","Agency Overall","2015","0","1.00","1.00"
"Department of Justice","Agency Overall","2015","414","84.66","498.66"
"Department of Commerce","Agency Overall","2015","5","37.51","42.51"
