"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Selective Service System","Agency Overall","2015","0","0.15","0.15"
"Equal Employment Opportunity Commission","Agency Overall","2015","29","7.09","36.09"
"Consumer Product Safety Commission","Agency Overall","2015","7","2.00","9.00"
"Legal Services Corporation","Agency Overall","2015","0","0.60","0.60"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2015","0","0.25","0.25"
"Central Intelligence Agency","Agency Overall","2015","65","27.00","92.00"
"Occupational Safety and Health Review Commission","Agency Overall","2015","0","1.64","1.64"
"Federal Housing Finance Agency","Agency Overall","2015","1","1.74","2.74"
"United States Access Board","Agency Overall","2015","0","0.50","0.50"
"National Labor Relations Board","Agency Overall","2015","17","0.00","17.00"
"Office of Management and Budget","Agency Overall","2015","2","1.50","3.50"
"Administrative Conference of the United States","Agency Overall","2015","0","0.10","0.10"
"U.S. Commission on Civil Rights","Agency Overall","2015","0","0.25","0.25"
"National Mediation Board","Agency Overall","2015","0","0.50","0.50"
"Federal Election Commission","Agency Overall","2015","0","2.29","2.29"
"National Endowment for the Humanities","Agency Overall","2015","0","1.25","1.25"
"Federal Mediation and Conciliation Service","Agency Overall","2015","0","1.00","1.00"
"Federal Reserve System","Agency Overall","2015","6","12.00","18.00"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2015","0","0.90","0.90"
"Department of Agriculture","Agency Overall","2015","67","106.64","173.64"
"Office of Special Counsel","Agency Overall","2015","2","2.35","4.35"
"U.S. Agency for International Development","Agency Overall","2015","15","8.90","23.90"
"Pension Benefit Guaranty Corporation","Agency Overall","2015","11","0.19","11.19"
"Department of Labor","Agency Overall","2015","40","154.31","194.31"
"United States International Boundary and Water Commission","Agency Overall","2015","0","1.00","1.00"
"Department of the Treasury","Agency Overall","2015","47","99.63","146.63"
"Overseas Private Investment Corporation","Agency Overall","2015","0","1.20","1.20"
"National Endowment for the Arts","Agency Overall","2015","0","1.00","1.00"
"Council on Environmental Quality","Agency Overall","2015","0","0.50","0.50"
"Millennium Challenge Corporation","Agency Overall","2015","0","2.00","2.00"
"Department of Health and Human Services","Agency Overall","2015","178","128.85","306.85"
"Securities and Exchange Commission","Agency Overall","2015","30","3.00","33.00"
"Department of Transportation","Agency Overall","2015","32","45.20","77.20"
"Armed Forces Retirement Home","Agency Overall","2015","0","0.50","0.50"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","0","0.75","0.75"
"Court Services and Offender Supervision Agency","Agency Overall","2015","2","1.00","3.00"
"American Battle Monuments Commission","Agency Overall","2015","0","0.02","0.02"
"National Transportation Safety Board","Agency Overall","2015","4","5.00","9.00"
"United States International Trade Commission","Agency Overall","2015","0","2.50","2.50"
"Office of the United States Trade Representative","Agency Overall","2015","1","1.70","2.70"
"Surface Transportation Board","Agency Overall","2015","0","0.50","0.50"
"National Credit Union Administration","Agency Overall","2015","0","1.70","1.70"
"National Archives and Records Administration","Agency Overall","2015","21","31.00","52.00"
"Environmental Protection Agency","Agency Overall","2015","62","7.83","69.83"
"Postal Regulatory Commission","Agency Overall","2015","0","1.00","1.00"
"United States Trade and Development Agency","Agency Overall","2015","0","0.10","0.10"
"Peace Corps","Agency Overall","2015","0","1.10","1.10"
"General Services Administration","Agency Overall","2015","15","0.69","15.69"
"Department of Education","Agency Overall","2015","17","43.52","60.52"
"Federal Labor Relations Authority","Agency Overall","2015","0","0.34","0.34"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","0","0.10","0.10"
"Farm Credit Administration","Agency Overall","2015","0","1.00","1.00"
"Office of Science and Technology Policy","Agency Overall","2015","0","1.00","1.00"
"Department of Housing and Urban Development","Agency Overall","2015","8","23.77","31.77"
"National Aeronautics and Space Administration","Agency Overall","2015","9","3.70","12.70"
"Federal Open Market Committee","Agency Overall","2015","0","1.00","1.00"
"Office of Personnel Management","Agency Overall","2015","6","9.20","15.20"
"Department of the Interior","Agency Overall","2015","53","76.71","129.71"
"Commodity Futures Trading Commission","Agency Overall","2015","1","1.18","2.18"
"Department of Defense","Agency Overall","2015","349","375.36","724.36"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","0","0.72","0.72"
"Federal Communications Commission","Agency Overall","2015","3","11.58","14.58"
"Merit Systems Protection Board","Agency Overall","2015","1","1.00","2.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","0","0.60","0.60"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","0","0.25","0.25"
"Office of Government Ethics","Agency Overall","2015","0","1.75","1.75"
"National Capital Planning Commission","Agency Overall","2015","0","0.03","0.03"
"All agencies","Agency Overall","2015","2134","1987.59","4121.59"
