"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Securities and Exchange Commission","Agency Overall","2015","4149144.62","288184.40","4437329.02","19890.07","0.4800"
"Department of Transportation","Agency Overall","2015","9579701.79","580377.26","10160079.05","316279.98","3.3000"
"Armed Forces Retirement Home","Agency Overall","2015","31030.00","0.00","31030.00","88.00","0.2800"
"Federal Mine Safety and Health Review Commission","Agency Overall","2015","112000.00","0.00","112000.00","1051.66","0.9400"
"Court Services and Offender Supervision Agency","Agency Overall","2015","217603.00","0.00","217603.00","7349.25","3.3800"
"American Battle Monuments Commission","Agency Overall","2015","1750.00","0.00","1750.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2015","597680.90","7161.14","604842.04","168.00","0.0300"
"United States International Trade Commission","Agency Overall","2015","22986.29","6052.00","29038.29","4197.70","18.2600"
"Office of the United States Trade Representative","Agency Overall","2015","220000.00","25000.00","245000.00","16.35","0.0100"
"Surface Transportation Board","Agency Overall","2015","98682.00","0.00","98682.00","2062.32","2.0900"
"National Credit Union Administration","Agency Overall","2015","217391.00","0.00","217391.00","553.00","0.2500"
"National Archives and Records Administration","Agency Overall","2015","6718874.00","0.00","6718874.00","502.20","0.0100"
"Environmental Protection Agency","Agency Overall","2015","9848226.44","678150.00","10526376.44","339680.14","3.4500"
"Postal Regulatory Commission","Agency Overall","2015","10000.00","8689.86","18689.86","43.00","0.4300"
"United States Trade and Development Agency","Agency Overall","2015","12000.00","0.00","12000.00","0.00","0.0000"
"Peace Corps","Agency Overall","2015","134019.00","0.00","134019.00","0.00","0.0000"
"General Services Administration","Agency Overall","2015","1124927.60","0.00","1124927.60","43793.55","3.8900"
"Department of Education","Agency Overall","2015","4522358.67","107861.00","4630219.67","16546.82","0.3700"
"Federal Labor Relations Authority","Agency Overall","2015","23617.00","0.00","23617.00","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2015","9800.00","0.00","9800.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2015","34255.00","0.00","34255.00","100.00","0.2900"
"Office of Science and Technology Policy","Agency Overall","2015","112000.00","1600.00","113600.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2015","3571693.88","51744.25","3623438.13","38053.91","1.0700"
"National Aeronautics and Space Administration","Agency Overall","2015","1284127.38","0.00","1284127.38","16575.28","1.2900"
"Federal Open Market Committee","Agency Overall","2015","145613.00","0.00","145613.00","0.00","0.0000"
"Office of Personnel Management","Agency Overall","2015","1562973.68","40236.00","1603209.68","5933.69","0.3800"
"Department of the Interior","Agency Overall","2015","11722357.15","515616.01","12237973.16","92866.05","0.7900"
"Commodity Futures Trading Commission","Agency Overall","2015","199200.00","0.00","199200.00","1823.95","0.9200"
"Department of Defense","Agency Overall","2015","71903054.45","4262588.03","76165642.48","557630.45","0.7800"
"Defense Nuclear Facilities Safety Board","Agency Overall","2015","64376.13","0.00","64376.13","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2015","2842240.36","27304.56","2869544.92","22459.90","0.7900"
"Merit Systems Protection Board","Agency Overall","2015","238958.00","0.00","238958.00","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2015","39043.47","0.00","39043.47","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2015","21004.25","0.00","21004.25","3270.95","15.5700"
"Office of Government Ethics","Agency Overall","2015","223464.88","0.00","223464.88","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2015","156.00","0.00","156.00","0.00","0.0000"
"All agencies","Agency Overall","2015","448463323.71","30745083.91","479208407.62","4431426.86","N/A"
