"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"National Council on Disability","Agency Overall","2021","0","0.10","0.10"
"United States Copyright Office","Agency Overall","2021","0","0.18","0.18"
"Federal Financial Institutions Examination Council","Agency Overall","2021","0","0.10","0.10"
"National Credit Union Administration","Agency Overall","2021","0","2.15","2.15"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","14","0.06","14.06"
"Commission of Fine Arts","Agency Overall","2021","0","1.00","1.00"
"United States African Development Foundation","Agency Overall","2021","0","1.00","1.00"
"Consumer Product Safety Commission","Agency Overall","2021","7","1.00","8.00"
"Council on Environmental Quality","Agency Overall","2021","2","1.10","3.10"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","0","1.25","1.25"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","1.00","1.00"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","0.40","0.40"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","0.10","0.10"
"Federal Mediation and Conciliation Service","Agency Overall","2021","0","3.00","3.00"
"U.S. Agency for Global Media","Agency Overall","2021","1","0.50","1.50"
"Office of the United States Trade Representative","Agency Overall","2021","0","1.30","1.30"
"Social Security Advisory Board","Agency Overall","2021","0","0.05","0.05"
"National Endowment for the Humanities","Agency Overall","2021","0","0.63","0.63"
"Marine Mammal Commission","Agency Overall","2021","0","0.03","0.03"
"Administrative Conference of the United States","Agency Overall","2021","0","0.10","0.10"
"Legal Services Corporation","Agency Overall","2021","0","0.83","0.83"
"Surface Transportation Board","Agency Overall","2021","0","0.05","0.05"
"Department of the Interior","Agency Overall","2021","81","71.58","152.58"
"Office of Special Counsel","Agency Overall","2021","6","4.00","10.00"
"Office of Science and Technology Policy","Agency Overall","2021","1","0.65","1.65"
"Federal Energy Regulatory Commission","Agency Overall","2021","1","2.02","3.02"
"Armed Forces Retirement Home","Agency Overall","2021","0","1.00","1.00"
"U.S. Agency for International Development","Agency Overall","2021","16","8.25","24.25"
"Department of Education","Agency Overall","2021","66","26.35","92.35"
"Department of Health and Human Services","Agency Overall","2021","263","94.55","357.55"
"Department of Housing and Urban Development","Agency Overall","2021","12","44.47","56.47"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","0","1.00","1.00"
