"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"National Council on Disability","Agency Overall","2021","4","8","1","52","N/A","N/A","N/A","N/A","10","16","1","52"
"United States Copyright Office","Agency Overall","2021","15","15.53","4","28","121","206.33","13","485","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2021","9","13.2","3","30","236","236","236","236","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2021","5","5.26","<1","14","27","25.59","<1","144","16.5","16.5","13","20"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","11.0","12.9","<1","63","14.0","18.98","<1","235","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2021","11","11","4","22","48","48","37","65","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2021","23","23","23","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2021","15","92.79","<1","857","31","142.36","<1","1166","13","17.8","6","82"
"Council on Environmental Quality","Agency Overall","2021","29.5","72.73","5","715","400","427.15","17","912","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","2","3","0","20","36","285","1","1106","1","1","1","1"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","18","34.1","<1","195","38.5","104.3","2","248","187","187","187","187"
"Advisory Council on Historic Preservation","Agency Overall","2021","106","103.4","43","200","99","122.2","47","233","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2021","20","28.4","1","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2021","99","136","1","517","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2021","20","24","2","90","59","71","33","271","18","17","7","20"
"Social Security Advisory Board","Agency Overall","2021","16","17","7","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2021","19","13.9","<1","20","36.5","52.6","21","155","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2021","10","13","1","40","81","81","27","135","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2021","1","1.05","<1","2","19","19","19","19","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2021","16.5","18.33","5","54","N/A","N/A","N/A","N/A","16","16","13","19"
"Surface Transportation Board","Agency Overall","2021","4.5","8.21","<1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2021","21.0","92.16","<1","1538","118.5","260.43","<1","1600","15.0","113.29","<1","987"
"Office of Special Counsel","Agency Overall","2021","42","47.27","1","159","77","92.8","1","339","10","10","10","10"
"Office of Science and Technology Policy","Agency Overall","2021","15","35.92","1","816","10.5","56.53","1","527","40","23.13","1","71"
"Federal Energy Regulatory Commission","Agency Overall","2021","25","24","20","28","40","169","19","713","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2021","16","14","1","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2021","44","245.77","<1","1072","131","277.1","<1","1242","222","214.33","7","513"
"Department of Education","Agency Overall","2021","6.00","10.72","<1","877","132.50","276.65","<1","1497","7.00","206.20","<1","935"
"Department of Health and Human Services","Agency Overall","2021","10.35","37.36","<1","1967","40.45","127.81","<1","2041","133.55","186.67","<1","1358"
"Department of Housing and Urban Development","Agency Overall","2021","19.00","136.54","<1","1300","338.00","383.50","<1","1435","8.50","19.25","1","95"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","1","2.5","1","13","33","44","2","145","N/A","N/A","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2021","25","25.67","1","100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","1","2.5","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2021","39","69","2","450","67","66","34","108","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","20.3","20.3","6","48","256","266.7","222","333","N/A","N/A","N/A","N/A"
