"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"National Council on Disability","Agency Overall","2021","0","53"
"United States Copyright Office","Agency Overall","2021","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2021","9","27"
"National Credit Union Administration","Agency Overall","2021","5","476"
"Pension Benefit Guaranty Corporation","Agency Overall","2021","0","25"
"Commission of Fine Arts","Agency Overall","2021","0","0"
"United States African Development Foundation","Agency Overall","2021","0","0"
"Consumer Product Safety Commission","Agency Overall","2021","230","230"
"Council on Environmental Quality","Agency Overall","2021","9","34"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","3","162"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","0","21"
"Advisory Council on Historic Preservation","Agency Overall","2021","0","50"
"Federal Mediation and Conciliation Service","Agency Overall","2021","12","0"
"U.S. Agency for Global Media","Agency Overall","2021","3","0"
"Office of the United States Trade Representative","Agency Overall","2021","27","38"
"Social Security Advisory Board","Agency Overall","2021","0","0"
"National Endowment for the Humanities","Agency Overall","2021","1","61"
"Marine Mammal Commission","Agency Overall","2021","0","79"
"Administrative Conference of the United States","Agency Overall","2021","6","325"
"Legal Services Corporation","Agency Overall","2021","804","2572"
"Surface Transportation Board","Agency Overall","2021","5","1200"
"Department of the Interior","Agency Overall","2021","3971","5989"
"Office of Special Counsel","Agency Overall","2021","0","10"
"Office of Science and Technology Policy","Agency Overall","2021","1","1"
"Federal Energy Regulatory Commission","Agency Overall","2021","4","200"
"Armed Forces Retirement Home","Agency Overall","2021","0","0"
"U.S. Agency for International Development","Agency Overall","2021","18","0"
"Department of Education","Agency Overall","2021","19","1775"
"Department of Health and Human Services","Agency Overall","2021","2986","19341"
"Department of Housing and Urban Development","Agency Overall","2021","4470","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2021","5","140"
"U.S. Interagency Council on Homelessness","Agency Overall","2021","0","0"
"United States International Boundary and Water Commission","Agency Overall","2021","0","50"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2021","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2021","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2021","8","0"
"Institute of Museum and Library Services","Agency Overall","2021","7","2453"
"Federal Retirement Thrift Investment Board","Agency Overall","2021","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2021","13","5897"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2021","0","0"
"Millennium Challenge Corporation","Agency Overall","2021","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2021","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2021","0","17"
"Department of Justice","Agency Overall","2021","1638","18833"
"Office of the Director of National Intelligence","Agency Overall","2021","12","10"
"Selective Service System","Agency Overall","2021","5","36"
"Federal Open Market Committee","Agency Overall","2021","435","29"
"General Services Administration","Agency Overall","2021","35","935"
"National Endowment for the Arts","Agency Overall","2021","6","10"
"Federal Labor Relations Authority","Agency Overall","2021","6","196"
"U.S. Department of State","Agency Overall","2021","8595","0"
"National Aeronautics and Space Administration","Agency Overall","2021","6","11070"
"Denali Commission","Agency Overall","2021","0","0"
"U.S. Election Assistance Commission","Agency Overall","2021","0","30"
"U.S. Railroad Retirement Board","Agency Overall","2021","11","0"
"Social Security Administration","Agency Overall","2021","27","0"
"Central Intelligence Agency","Agency Overall","2021","0","0"
"United States Postal Service","Agency Overall","2021","165","6252"
"National Labor Relations Board","Agency Overall","2021","1248","2128"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2021","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2021","0","2"
"Farm Credit Administration","Agency Overall","2021","0","0"
"Department of Veterans Affairs","Agency Overall","2021","157","0"
"Farm Credit System Insurance Corporation","Agency Overall","2021","0","0"
"United States International Trade Commission","Agency Overall","2021","0","323"
"National Capital Planning Commission","Agency Overall","2021","0","686"
"Office of Government Ethics","Agency Overall","2021","0","201"
"National Railroad Passenger Corporation","Agency Overall","2021","3","0"
"Appraisal Subcommittee","Agency Overall","2021","0","30"
"Department of Energy","Agency Overall","2021","110","1420"
"Occupational Safety and Health Review Commission","Agency Overall","2021","6","86"
"Inter-American Foundation","Agency Overall","2021","2","367"
"Court Services and Offender Supervision Agency","Agency Overall","2021","7","22"
"Federal Housing Finance Agency","Agency Overall","2021","2","25"
"Office of Personnel Management","Agency Overall","2021","0","573"
"Postal Regulatory Commission","Agency Overall","2021","5","0"
"Department of Transportation","Agency Overall","2021","1040","210"
"Presidio Trust","Agency Overall","2021","0","5"
"Environmental Protection Agency","Agency Overall","2021","110983","587"
"National Mediation Board","Agency Overall","2021","5","950"
"American Battle Monuments Commission","Agency Overall","2021","0","4"
"National Transportation Safety Board","Agency Overall","2021","5","1307"
"Federal Deposit Insurance Corporation","Agency Overall","2021","10","305"
"Federal Communications Commission","Agency Overall","2021","6","3454318"
"Small Business Administration","Agency Overall","2021","0","9"
"Department of Commerce","Agency Overall","2021","137","4054006"
"Office of National Drug Control Policy","Agency Overall","2021","10","6"
"Consumer Financial Protection Bureau","Agency Overall","2021","31","142"
"Peace Corps","Agency Overall","2021","15","590"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2021","2","167"
"National Science Foundation","Agency Overall","2021","0","300"
"Department of Agriculture","Agency Overall","2021","169","26574"
"Department of Labor","Agency Overall","2021","99195","118863"
