"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Reserve System","Agency Overall","2021","6","8","1","38","33","74","3","1451","124","124","124","124"
"Federal Election Commission","Agency Overall","2021","7","9.2","3","24","22.5","120.1","3","719","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2021","179","156","2","462","746","722","353","1222","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2021","19.5","19.75","19","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2021","20","24","3","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2021","29","28","19","36","N/a","N/a","N/A","N/A","n/a","n/a","N/A","N/A"
"Federal Trade Commission","Agency Overall","2021","2.00","4.00","<1","125","17.00","30.44","<1","180","3.00","16.48","<1","258"
"National Indian Gaming Commission","Agency Overall","2021","3","6","1","22","108","599","22","1667","N/A","N/A","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Defense","Agency Overall","2021","12","40.23","1","1628","70.00","233.55","1","3972","21","80","1","1433"
"Tennessee Valley Authority","Agency Overall","2021","13.5","14.77","1","66","59.5","76.95","19","242","40.5","40.5","8","73"
"Export-Import Bank of the U.S.","Agency Overall","2021","17.5","47.1","<1","564","64","179.29","9","839","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2021","19","35","0","1164","28","55","<1","1857","81","142","5","1628"
"Defense Nuclear Facilities Safety Board","Agency Overall","2021","17","31","5","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
