"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"National Endowment for the Humanities","Agency Overall","2023","27000.00","0.00","27000.00","0.00","0.0000"
"National Railroad Passenger Corporation","Agency Overall","2023","130000.00","10000.00","140000.00","0.00","0.0000"
"Occupational Safety and Health Review Commission","Agency Overall","2023","289814.10","0.00","289814.10","727.95","0.2500"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","20875.00","0.00","20875.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2023","51000.00","0.00","51000.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2023","367072.50","60851.00","427923.50","0.00","0.0000"
"Department of Commerce","Agency Overall","2023","9250149.94","766601.42","10016751.36","24869.03","0.2700"
"Department of Defense","Agency Overall","2023","85615756.72","4451297.93","90067054.65","171801.04","0.2000"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","4675.11","0.00","4675.11","0.00","0.0000"
"Department of the Interior","Agency Overall","2023","17354378.02","794239.81","18148617.83","2222.25","0.0100"
"National Archives and Records Administration","Agency Overall","2023","1632400.00","56000.00","1688400.00","0.00","0.0000"
"Department of Labor","Agency Overall","2023","20255548.00","802964.00","21058512.00","181116.24","0.8900"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","100.00","0.00","100.00","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","500.00","0.00","500.00","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2023","710930.00","3000.00","713930.00","0.00","0.0000"
"Advisory Council on Historic Preservation","Agency Overall","2023","5000.00","0.00","5000.00","0.00","0.0000"
"U.S. International Development Finance Corporation","Agency Overall","2023","162958.00","9900.00","172858.00","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2023","1016000.00","382000.00","1398000.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2023","101489.00","0.00","101489.00","0.00","0.0000"
"Department of Agriculture","Agency Overall","2023","20678324.21","1834752.93","22513077.14","13859.26","0.0700"
"Environmental Protection Agency","Agency Overall","2023","36121333.00","942874.00","37064207.00","253030.50","0.7000"
"Millennium Challenge Corporation","Agency Overall","2023","177000.00","0.00","177000.00","0.00","0.0000"
"Appraisal Subcommittee","Agency Overall","2023","5004.72","0.00","5004.72","0.00","0.0000"
"Federal Maritime Commission","Agency Overall","2023","266619.54","0.00","266619.54","0.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2023","30000.00","0.00","30000.00","0.00","0.0000"
"General Services Administration","Agency Overall","2023","1353331.27","174000.00","1527331.27","46391.20","3.4300"
"Federal Financial Institutions Examination Council","Agency Overall","2023","19528.70","0.00","19528.70","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","50000.00","0.00","50000.00","0.00","0.0000"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","43732.00","0.00","43732.00","0.00","0.0000"
"Inter-American Foundation","Agency Overall","2023","15000.00","0.00","15000.00","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2023","649583.90","0.00","649583.90","285.00","0.0400"
"Office of the United States Trade Representative","Agency Overall","2023","161000.00","0.00","161000.00","0.00","0.0000"
"Central Intelligence Agency","Agency Overall","2023","5336596.16","1570163.72","6906759.88","40.00","0.0000"
"U.S. Department of State","Agency Overall","2023","64673083.00","521358.29","65194441.29","0.00","0.0000"
"Federal Election Commission","Agency Overall","2023","300611.00","300611.00","601222.00","0.00","0.0000"
"United States Trade and Development Agency","Agency Overall","2023","20000.00","0.00","20000.00","0.00","0.0000"
"Merit Systems Protection Board","Agency Overall","2023","219132.00","0.00","219132.00","0.00","0.0000"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","3520.00","0.00","3520.00","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","109899.00","0.00","109899.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2023","46627.00","0.00","46627.00","0.00","0.0000"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","19982.00","0.00","19982.00","415.00","2.0800"
"United States Postal Service","Agency Overall","2023","1449741.00","20000.00","1469741.00","16082.90","1.1100"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","114939.58","0.00","114939.58","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","86050.00","0.00","86050.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2023","381316.00","0.00","381316.00","2222.50","0.5800"
"National Council on Disability","Agency Overall","2023","21000.00","0.00","21000.00","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2023","498639.60","0.00","498639.60","0.00","0.0000"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","174461.00","0.00","174461.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2023","16801.22","0.00","16801.22","375.00","2.2300"
"Social Security Advisory Board","Agency Overall","2023","500.00","0.00","500.00","0.00","0.0000"
"Selective Service System","Agency Overall","2023","5334.57","0.00","5334.57","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2023","15750.00","0.00","15750.00","0.00","0.0000"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","150.00","0.00","150.00","0.00","0.0000"
"United States Institute of Peace","Agency Overall","2023","11000.00","0.00","11000.00","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2023","30000.00","0.00","30000.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2023","18336.33","0.00","18336.33","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2023","471600.00","0.00","471600.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2023","2490384.00","267061.00","2757445.00","35687.00","1.4300"
"National Capital Planning Commission","Agency Overall","2023","3494.00","0.00","3494.00","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2023","64957.00","0.00","64957.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2023","2380266.00","98239.00","2478505.00","7223.75","0.3000"
"United States International Trade Commission","Agency Overall","2023","1133.30","0.00","1133.30","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2023","4179059.38","6000.00","4185059.38","4565.00","0.1100"
"Department of Transportation","Agency Overall","2023","17953431.00","718964.00","18672395.00","193738.85","1.0800"
"Department of Justice","Agency Overall","2023","93326841.79","18663738.58","111990580.37","45944.81","0.0500"
"National Aeronautics and Space Administration","Agency Overall","2023","1473080.75","2700.00","1475780.75","7655.58","0.5200"
"United States African Development Foundation","Agency Overall","2023","50.00","0.00","50.00","0.00","0.0000"
"Denali Commission","Agency Overall","2023","100.00","0.00","100.00","0.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","1718097.00","0.00","1718097.00","3078.00","0.1800"
"Postal Regulatory Commission","Agency Overall","2023","37500.00","0.00","37500.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2023","78000.00","0.00","78000.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2023","5567373.10","525262.99","6092636.09","0.00","0.0000"
"Department of Health and Human Services","Agency Overall","2023","32234029.62","7466570.95","39700600.57","784187.48","2.4300"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","25.00","0.00","25.00","0.00","0.0000"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","2900.00","0.00","2900.00","0.00","0.0000"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","132612.50","0.00","132612.50","362.50","0.2700"
"Department of Education","Agency Overall","2023","8723640.16","73833.34","8797473.50","74.98","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","231158.76","45236.10","276394.86","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2023","6614850.57","1269.00","6616119.57","20216.10","0.3100"
"Tennessee Valley Authority","Agency Overall","2023","250507.00","123498.00","374005.00","205.80","0.0800"
"Department of the Treasury","Agency Overall","2023","19287130.77","2405069.09","21692199.86","42076.51","0.2200"
"Marine Mammal Commission","Agency Overall","2023","5000.00","0.00","5000.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2023","12467072.00","794083.00","13261155.00","658.50","0.0100"
"Federal Trade Commission","Agency Overall","2023","1901296.00","787888.81","2689184.81","13369.76","0.7000"
"Consumer Financial Protection Bureau","Agency Overall","2023","6131755.19","24740.00","6156495.19","588.00","0.0100"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","104.00","0.00","104.00","0.00","0.0000"
"Office of the National Cyber Director","Agency Overall","2023","112000.00","0.00","112000.00","0.00","0.0000"
"Armed Forces Retirement Home","Agency Overall","2023","31030.00","0.00","31030.00","0.00","0.0000"
"United States Access Board","Agency Overall","2023","29454.00","0.00","29454.00","0.00","0.0000"
"National Endowment for the Arts","Agency Overall","2023","100584.70","0.00","100584.70","0.00","0.0000"
"Commission of Fine Arts","Agency Overall","2023","50.00","0.00","50.00","0.00","0.0000"
"Office of the Director of National Intelligence","Agency Overall","2023","2496415.00","283920.00","2780335.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2023","2841158.71","33354.76","2874513.47","2294.93","0.0800"
"Federal Energy Regulatory Commission","Agency Overall","2023","1462520.00","0.00","1462520.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2023","114518.80","0.00","114518.80","0.00","0.0000"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","3850.00","0.00","3850.00","0.00","0.0000"
"Small Business Administration","Agency Overall","2023","61719.00","227000.00","288719.00","5500.00","8.9100"
"U.S. Agency for Global Media","Agency Overall","2023","187418.00","16666.00","204084.00","0.00","0.0000"
"Presidio Trust","Agency Overall","2023","9737.50","0.00","9737.50","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2023","579292.11","1754.52","581046.63","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2023","395401.48","0.00","395401.48","0.00","0.0000"
"All agencies","Agency Overall","2023","610779248.06","49090656.24","659869904.30","2337097.74","N/A"
