"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Federal Reserve System","Agency Overall","2023","1420855.90","232902.50","1653758.40","560.05","0.0400"
"Federal Mediation and Conciliation Service","Agency Overall","2023","73589.63","0.00","73589.63","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2023","456641.54","0.00","456641.54","999.99","0.2200"
"Consumer Product Safety Commission","Agency Overall","2023","617439.00","0.00","617439.00","2604.29","0.4200"
"Administrative Conference of the United States","Agency Overall","2023","36792.00","0.00","36792.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2023","40000.00","100.00","40100.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2023","2103836.39","0.00","2103836.39","420.38","0.0200"
"National Transportation Safety Board","Agency Overall","2023","901270.21","0.00","901270.21","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2023","4950790.53","100183.79","5050974.32","198013.65","4.0000"
"Department of Homeland Security","Agency Overall","2023","89820469.75","2755773.62","92576243.37","37174.00","0.0400"
"Office of Management and Budget","Agency Overall","2023","1504956.58","35750.00","1540706.58","0.00","0.0000"
"Social Security Administration","Agency Overall","2023","2430354.93","28245.75","2458600.68","200051.25","8.2300"
"U.S. Election Assistance Commission","Agency Overall","2023","23660.00","3675.00","27335.00","0.00","0.0000"
"Office of Personnel Management","Agency Overall","2023","1083747.00","0.00","1083747.00","7149.69","0.6600"
"National Indian Gaming Commission","Agency Overall","2023","150000.00","0.00","150000.00","3804.50","2.5400"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","35000.00","0.00","35000.00","0.00","0.0000"
"Peace Corps","Agency Overall","2023","540803.00","0.00","540803.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2023","307091.00","0.00","307091.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2023","134905.00","0.00","134905.00","0.00","0.0000"
"Department of Energy","Agency Overall","2023","7874874.22","666562.34","8541436.56","5454.52","0.0700"
