"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"United States Access Board","Agency Overall","2023","0","1"
"National Endowment for the Arts","Agency Overall","2023","0","2"
"Commission of Fine Arts","Agency Overall","2023","0","0"
"Office of the Director of National Intelligence","Agency Overall","2023","37","17"
"Federal Communications Commission","Agency Overall","2023","9","2752838"
"Federal Energy Regulatory Commission","Agency Overall","2023","5","200"
"Federal Labor Relations Authority","Agency Overall","2023","8","111"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","2"
"Small Business Administration","Agency Overall","2023","2051","0"
"U.S. Agency for Global Media","Agency Overall","2023","4","45"
"Presidio Trust","Agency Overall","2023","2","55"
"Federal Housing Finance Agency","Agency Overall","2023","2","5"
"Office of Government Ethics","Agency Overall","2023","0","482"
"All agencies","Agency Overall","2023","377472","225744227"
