"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"United States Access Board","Agency Overall","2023","0","0.20","0.20"
"National Endowment for the Arts","Agency Overall","2023","0","1.25","1.25"
"Commission of Fine Arts","Agency Overall","2023","0","0.10","0.10"
"Office of the Director of National Intelligence","Agency Overall","2023","13","3.50","16.50"
"Federal Communications Commission","Agency Overall","2023","5","8.22","13.22"
"Federal Energy Regulatory Commission","Agency Overall","2023","1","4.64","5.64"
"Federal Labor Relations Authority","Agency Overall","2023","0","1.10","1.10"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2023","0","0.03","0.03"
"Small Business Administration","Agency Overall","2023","26","69.48","95.48"
"U.S. Agency for Global Media","Agency Overall","2023","0","1.50","1.50"
"Presidio Trust","Agency Overall","2023","0","0.25","0.25"
"Federal Housing Finance Agency","Agency Overall","2023","2","0.40","2.40"
"Office of Government Ethics","Agency Overall","2023","0","2.40","2.40"
"All agencies","Agency Overall","2023","3261","1683.39","4944.39"
