"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Federal Reserve System","Agency Overall","2023","5","9.00","14.00"
"Federal Mediation and Conciliation Service","Agency Overall","2023","1","0.00","1.00"
"Commodity Futures Trading Commission","Agency Overall","2023","3","0.00","3.00"
"Consumer Product Safety Commission","Agency Overall","2023","6","0.75","6.75"
"Administrative Conference of the United States","Agency Overall","2023","0","0.10","0.10"
"Farm Credit Administration","Agency Overall","2023","0","0.30","0.30"
"Nuclear Regulatory Commission","Agency Overall","2023","6","6.00","12.00"
"National Transportation Safety Board","Agency Overall","2023","5","1.00","6.00"
"Department of Veterans Affairs","Agency Overall","2023","112","28.00","140.00"
"Department of Homeland Security","Agency Overall","2023","594","45.00","639.00"
"Office of Management and Budget","Agency Overall","2023","4","5.00","9.00"
"Social Security Administration","Agency Overall","2023","10","10.00","20.00"
"U.S. Election Assistance Commission","Agency Overall","2023","0","1.50","1.50"
"Office of Personnel Management","Agency Overall","2023","5","3.50","8.50"
"National Indian Gaming Commission","Agency Overall","2023","1","0.00","1.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2023","0","1.00","1.00"
"Peace Corps","Agency Overall","2023","7","2.00","9.00"
"Court Services and Offender Supervision Agency","Agency Overall","2023","3","0.00","3.00"
"Office of National Drug Control Policy","Agency Overall","2023","0","1.08","1.08"
"Department of Energy","Agency Overall","2023","43","31.49","74.49"
"National Endowment for the Humanities","Agency Overall","2023","0","0.33","0.33"
"National Railroad Passenger Corporation","Agency Overall","2023","2","1.00","3.00"
"Occupational Safety and Health Review Commission","Agency Overall","2023","0","1.79","1.79"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2023","0","0.25","0.25"
"Institute of Museum and Library Services","Agency Overall","2023","0","0.75","0.75"
"National Science Foundation","Agency Overall","2023","1","2.40","3.40"
"Department of Commerce","Agency Overall","2023","42","37.76","79.76"
"Department of Defense","Agency Overall","2023","608","313.18","921.18"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2023","0","0.03","0.03"
"Department of the Interior","Agency Overall","2023","84","44.55","128.55"
"National Archives and Records Administration","Agency Overall","2023","21","21.45","42.45"
"Department of Labor","Agency Overall","2023","74","84.70","158.70"
"U.S. Interagency Council on Homelessness","Agency Overall","2023","0","0.01","0.01"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2023","0","0.10","0.10"
"Office of Science and Technology Policy","Agency Overall","2023","3","1.00","4.00"
"Advisory Council on Historic Preservation","Agency Overall","2023","1","100.00","101.00"
"U.S. International Development Finance Corporation","Agency Overall","2023","1","0.50","1.50"
"Office of Special Counsel","Agency Overall","2023","4","5.00","9.00"
"Federal Open Market Committee","Agency Overall","2023","0","1.00","1.00"
"Department of Agriculture","Agency Overall","2023","99","115.59","214.59"
"Environmental Protection Agency","Agency Overall","2023","106","93.28","199.28"
"Millennium Challenge Corporation","Agency Overall","2023","3","4.00","7.00"
"Appraisal Subcommittee","Agency Overall","2023","0","0.05","0.05"
"Federal Maritime Commission","Agency Overall","2023","0","1.12","1.12"
"Farm Credit System Insurance Corporation","Agency Overall","2023","0","0.15","0.15"
"General Services Administration","Agency Overall","2023","9","3.47","12.47"
"Federal Financial Institutions Examination Council","Agency Overall","2023","0","0.10","0.10"
"Defense Nuclear Facilities Safety Board","Agency Overall","2023","0","0.50","0.50"
"Neighborhood Reinvestment Corporation","Agency Overall","2023","0","0.35","0.35"
"Inter-American Foundation","Agency Overall","2023","0","0.30","0.30"
"Export-Import Bank of the U.S.","Agency Overall","2023","4","0.90","4.90"
"Office of the United States Trade Representative","Agency Overall","2023","0","0.90","0.90"
"Central Intelligence Agency","Agency Overall","2023","38","26.42","64.42"
"U.S. Department of State","Agency Overall","2023","178","86.86","264.86"
"Federal Election Commission","Agency Overall","2023","1","0.00","1.00"
"United States Trade and Development Agency","Agency Overall","2023","0","0.60","0.60"
"Merit Systems Protection Board","Agency Overall","2023","1","0.58","1.58"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2023","1","0.00","1.00"
"Federal Retirement Thrift Investment Board","Agency Overall","2023","1","0.30","1.30"
"Legal Services Corporation","Agency Overall","2023","0","0.83","0.83"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2023","0","0.22","0.22"
"United States Postal Service","Agency Overall","2023","19","0.25","19.25"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2023","0","0.37","0.37"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2023","0","0.50","0.50"
"National Credit Union Administration","Agency Overall","2023","0","1.96","1.96"
"National Council on Disability","Agency Overall","2023","0","0.20","0.20"
"Council on Environmental Quality","Agency Overall","2023","2","1.10","3.10"
"Federal Permitting Improvement Steering Council","Agency Overall","2023","0","1.00","1.00"
"Surface Transportation Board","Agency Overall","2023","0","0.06","0.06"
"Social Security Advisory Board","Agency Overall","2023","0","0.01","0.01"
"Selective Service System","Agency Overall","2023","0","0.15","0.15"
"American Battle Monuments Commission","Agency Overall","2023","1","0.00","1.00"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2023","0","0.10","0.10"
"United States Institute of Peace","Agency Overall","2023","0","0.10","0.10"
"United States International Boundary and Water Commission","Agency Overall","2023","0","0.25","0.25"
"United States Copyright Office","Agency Overall","2023","0","0.13","0.13"
"U.S. Railroad Retirement Board","Agency Overall","2023","3","0.00","3.00"
"National Labor Relations Board","Agency Overall","2023","17","0.97","17.97"
"National Capital Planning Commission","Agency Overall","2023","0","0.01","0.01"
"U.S. Commission on Civil Rights","Agency Overall","2023","1","0.00","1.00"
"Federal Deposit Insurance Corporation","Agency Overall","2023","7","6.00","13.00"
"United States International Trade Commission","Agency Overall","2023","0","3.00","3.00"
"Equal Employment Opportunity Commission","Agency Overall","2023","36","3.12","39.12"
"Department of Transportation","Agency Overall","2023","63","54.39","117.39"
"Department of Justice","Agency Overall","2023","443","128.27","571.27"
"National Aeronautics and Space Administration","Agency Overall","2023","6","4.90","10.90"
"United States African Development Foundation","Agency Overall","2023","0","0.01","0.01"
"Denali Commission","Agency Overall","2023","0","0.01","0.01"
"Pension Benefit Guaranty Corporation","Agency Overall","2023","14","14.00","28.00"
"Postal Regulatory Commission","Agency Overall","2023","0","1.50","1.50"
"National Mediation Board","Agency Overall","2023","0","1.00","1.00"
"U.S. Agency for International Development","Agency Overall","2023","16","9.75","25.75"
"Department of Health and Human Services","Agency Overall","2023","327","69.20","396.20"
"Harry S. Truman Scholarship Foundation","Agency Overall","2023","0","0.01","0.01"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2023","0","0.01","0.01"
"Federal Mine Safety and Health Review Commission","Agency Overall","2023","0","1.00","1.00"
"Department of Education","Agency Overall","2023","32","29.58","61.58"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2023","0","1.25","1.25"
"Department of Housing and Urban Development","Agency Overall","2023","14","75.41","89.41"
"Tennessee Valley Authority","Agency Overall","2023","1","0.25","1.25"
"Department of the Treasury","Agency Overall","2023","60","66.94","126.94"
"Marine Mammal Commission","Agency Overall","2023","0","0.02","0.02"
"Securities and Exchange Commission","Agency Overall","2023","27","8.90","35.90"
"Federal Trade Commission","Agency Overall","2023","24","0.00","24.00"
"Consumer Financial Protection Bureau","Agency Overall","2023","13","5.50","18.50"
"James Madison Memorial Fellowship Foundation","Agency Overall","2023","0","0.10","0.10"
"Office of the National Cyber Director","Agency Overall","2023","0","1.00","1.00"
"Armed Forces Retirement Home","Agency Overall","2023","1","0.00","1.00"
