"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Postal Regulatory Commission","Agency Overall","2016","0","1.00","1.00"
"Office of National Drug Control Policy","Agency Overall","2016","0","0.40","0.40"
"National Credit Union Administration","Agency Overall","2016","0","1.65","1.65"
"U.S. Commission on Civil Rights","Agency Overall","2016","0","0.34","0.34"
"United States Access Board","Agency Overall","2016","0","0.50","0.50"
"National Endowment for the Humanities","Agency Overall","2016","0","1.25","1.25"
"Department of Housing and Urban Development","Agency Overall","2016","15","58.13","73.13"
"United States International Boundary and Water Commission","Agency Overall","2016","0","0.00","0.00"
"U.S. Agency for Global Media","Agency Overall","2016","0","1.25","1.25"
"National Science Foundation","Agency Overall","2016","0","2.18","2.18"
"Department of Agriculture","Agency Overall","2016","70","110.36","180.36"
"American Battle Monuments Commission","Agency Overall","2016","0","0.07","0.07"
"Legal Services Corporation","Agency Overall","2016","0","0.60","0.60"
"Presidio Trust","Agency Overall","2016","0","0.06","0.06"
"Department of Labor","Agency Overall","2016","49","212.30","261.30"
"Federal Labor Relations Authority","Agency Overall","2016","0","0.31","0.31"
"Federal Open Market Committee","Agency Overall","2016","0","1.00","1.00"
"Office of Management and Budget","Agency Overall","2016","2","0.50","2.50"
"National Aeronautics and Space Administration","Agency Overall","2016","9","1.72","10.72"
"Consumer Financial Protection Bureau","Agency Overall","2016","5","0.00","5.00"
"Institute of Museum and Library Services","Agency Overall","2016","0","0.15","0.15"
"Office of Science and Technology Policy","Agency Overall","2016","0","0.60","0.60"
"Office of Government Ethics","Agency Overall","2016","0","1.75","1.75"
"Export-Import Bank of the U.S.","Agency Overall","2016","6","0.65","6.65"
"Department of Justice","Agency Overall","2016","414","75.64","489.64"
"Federal Financial Institutions Examination Council","Agency Overall","2016","0","0.10","0.10"
"Department of Energy","Agency Overall","2016","49","35.45","84.45"
"U.S. Department of State","Agency Overall","2016","76","54.46","130.46"
"Consumer Product Safety Commission","Agency Overall","2016","7","2.00","9.00"
"Social Security Administration","Agency Overall","2016","9","21.00","30.00"
"National Council on Disability","Agency Overall","2016","0","0.04","0.04"
"General Services Administration","Agency Overall","2016","10","0.68","10.68"
"Administrative Conference of the United States","Agency Overall","2016","0","0.10","0.10"
"Farm Credit System Insurance Corporation","Agency Overall","2016","0","0.00","0.00"
"Farm Credit Administration","Agency Overall","2016","0","2.00","2.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","0","1.00","1.00"
"U.S. Election Assistance Commission","Agency Overall","2016","0","0.05","0.05"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","0","0.73","0.73"
"Office of the Director of National Intelligence","Agency Overall","2016","11","0.00","11.00"
"National Endowment for the Arts","Agency Overall","2016","0","1.00","1.00"
"Tennessee Valley Authority","Agency Overall","2016","1","0.50","1.50"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","0","0.90","0.90"
"Federal Energy Regulatory Commission","Agency Overall","2016","1","2.76","3.76"
"Millennium Challenge Corporation","Agency Overall","2016","0","1.00","1.00"
"Small Business Administration","Agency Overall","2016","26","0.09","26.09"
"Federal Reserve System","Agency Overall","2016","6","12.00","18.00"
"United States Institute of Peace","Agency Overall","2016","0","0.05","0.05"
"National Labor Relations Board","Agency Overall","2016","18","6.00","24.00"
"Department of the Treasury","Agency Overall","2016","51","89.33","140.33"
"Peace Corps","Agency Overall","2016","2","1.60","3.60"
"National Railroad Passenger Corporation","Agency Overall","2016","2","2.00","4.00"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","0","0.05","0.05"
"Pension Benefit Guaranty Corporation","Agency Overall","2016","10","0.02","10.02"
"Federal Election Commission","Agency Overall","2016","0","1.68","1.68"
"Department of Commerce","Agency Overall","2016","7","44.17","51.17"
"Federal Deposit Insurance Corporation","Agency Overall","2016","7","7.00","14.00"
"Commission of Fine Arts","Agency Overall","2016","0","1.00","1.00"
"Office of Special Counsel","Agency Overall","2016","2","1.95","3.95"
"Federal Retirement Thrift Investment Board","Agency Overall","2016","0","1.00","1.00"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","0","0.25","0.25"
"Department of Homeland Security","Agency Overall","2016","405","123.98","528.98"
"Department of Transportation","Agency Overall","2016","36","73.98","109.98"
"Council on Environmental Quality","Agency Overall","2016","0","0.50","0.50"
"Department of Health and Human Services","Agency Overall","2016","193","121.53","314.53"
"All agencies","Agency Overall","2016","2438","1824.16","4262.16"
