"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Merit Systems Protection Board","Agency Overall","2016","1","1.00","2.00"
"Department of the Interior","Agency Overall","2016","65","76.21","141.21"
"Surface Transportation Board","Agency Overall","2016","0","0.35","0.35"
"Armed Forces Retirement Home","Agency Overall","2016","0","0.50","0.50"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","0","0.10","0.10"
"Court Services and Offender Supervision Agency","Agency Overall","2016","3","0.00","3.00"
"Securities and Exchange Commission","Agency Overall","2016","34","9.00","43.00"
"United States Copyright Office","Agency Overall","2016","0","0.03","0.03"
"Environmental Protection Agency","Agency Overall","2016","89","7.70","96.70"
"Federal Housing Finance Agency","Agency Overall","2016","0","2.03","2.03"
"Denali Commission","Agency Overall","2016","0","0.05","0.05"
"U.S. Agency for International Development","Agency Overall","2016","15","8.90","23.90"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","1.65","1.65"
"Neighborhood Reinvestment Corporation","Agency Overall","2016","1","0.10","1.10"
"Social Security Advisory Board","Agency Overall","2016","0","0.05","0.05"
"Commodity Futures Trading Commission","Agency Overall","2016","1","0.00","1.00"
"National Mediation Board","Agency Overall","2016","0","1.00","1.00"
"Federal Maritime Commission","Agency Overall","2016","1","0.29","1.29"
"United States African Development Foundation","Agency Overall","2016","0","0.04","0.04"
"U.S. Railroad Retirement Board","Agency Overall","2016","0","3.00","3.00"
"National Indian Gaming Commission","Agency Overall","2016","1","0.65","1.65"
"Department of Education","Agency Overall","2016","17","31.90","48.90"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","0","0.05","0.05"
"National Transportation Safety Board","Agency Overall","2016","3","6.00","9.00"
"United States Postal Service","Agency Overall","2016","15","32.00","47.00"
"United States International Trade Commission","Agency Overall","2016","0","2.50","2.50"
"Federal Mediation and Conciliation Service","Agency Overall","2016","0","0.50","0.50"
"Nuclear Regulatory Commission","Agency Overall","2016","14","4.00","18.00"
"United States Trade and Development Agency","Agency Overall","2016","0","0.10","0.10"
"Appraisal Subcommittee","Agency Overall","2016","0","0.05","0.05"
"Federal Communications Commission","Agency Overall","2016","3","11.30","14.30"
"Inter-American Foundation","Agency Overall","2016","0","0.10","0.10"
"National Archives and Records Administration","Agency Overall","2016","20","33.00","53.00"
"Federal Trade Commission","Agency Overall","2016","9","1.78","10.78"
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","0","0.05","0.05"
"U.S. Interagency Council on Homelessness","Agency Overall","2016","0","0.05","0.05"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","0","0.50","0.50"
"Overseas Private Investment Corporation","Agency Overall","2016","0","1.45","1.45"
"Selective Service System","Agency Overall","2016","0","0.15","0.15"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","0","1.50","1.50"
"Central Intelligence Agency","Agency Overall","2016","67","28.00","95.00"
"Equal Employment Opportunity Commission","Agency Overall","2016","34","6.14","40.14"
"Department of Veterans Affairs","Agency Overall","2016","48","211.64","259.64"
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","0","0.05","0.05"
"Marine Mammal Commission","Agency Overall","2016","0","0.00","0.00"
"Office of the United States Trade Representative","Agency Overall","2016","1","1.70","2.70"
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","0","0.75","0.75"
"National Capital Planning Commission","Agency Overall","2016","0","0.04","0.04"
"Office of Personnel Management","Agency Overall","2016","6","6.01","12.01"
"Department of Defense","Agency Overall","2016","491","245.34","736.34"
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","0","0.50","0.50"
