"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Merit Systems Protection Board","Agency Overall","2016","",""
"Department of the Interior","Agency Overall","2016","",""
"Surface Transportation Board","Agency Overall","2016","",""
"Armed Forces Retirement Home","Agency Overall","2016","",""
"Privacy and Civil Liberties Oversight Board","Agency Overall","2016","",""
"Court Services and Offender Supervision Agency","Agency Overall","2016","",""
"Securities and Exchange Commission","Agency Overall","2016","",""
"United States Copyright Office","Agency Overall","2016","",""
"Environmental Protection Agency","Agency Overall","2016","",""
"Federal Housing Finance Agency","Agency Overall","2016","",""
"Denali Commission","Agency Overall","2016","",""
"U.S. Agency for International Development","Agency Overall","2016","",""
"Occupational Safety and Health Review Commission","Agency Overall","2016","",""
"Neighborhood Reinvestment Corporation","Agency Overall","2016","",""
"Social Security Advisory Board","Agency Overall","2016","",""
"Commodity Futures Trading Commission","Agency Overall","2016","",""
"National Mediation Board","Agency Overall","2016","",""
"Federal Maritime Commission","Agency Overall","2016","",""
"United States African Development Foundation","Agency Overall","2016","",""
"U.S. Railroad Retirement Board","Agency Overall","2016","",""
"National Indian Gaming Commission","Agency Overall","2016","",""
"Department of Education","Agency Overall","2016","",""
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2016","",""
"National Transportation Safety Board","Agency Overall","2016","",""
"United States Postal Service","Agency Overall","2016","",""
"United States International Trade Commission","Agency Overall","2016","",""
"Federal Mediation and Conciliation Service","Agency Overall","2016","",""
"Nuclear Regulatory Commission","Agency Overall","2016","",""
"United States Trade and Development Agency","Agency Overall","2016","",""
"Appraisal Subcommittee","Agency Overall","2016","",""
"Federal Communications Commission","Agency Overall","2016","",""
"Inter-American Foundation","Agency Overall","2016","",""
"National Archives and Records Administration","Agency Overall","2016","",""
"Federal Trade Commission","Agency Overall","2016","",""
"Harry S. Truman Scholarship Foundation","Agency Overall","2016","",""
"U.S. Interagency Council on Homelessness","Agency Overall","2016","",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2016","",""
"Overseas Private Investment Corporation","Agency Overall","2016","",""
"Selective Service System","Agency Overall","2016","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2016","",""
"Central Intelligence Agency","Agency Overall","2016","",""
"Equal Employment Opportunity Commission","Agency Overall","2016","",""
"Department of Veterans Affairs","Agency Overall","2016","",""
"James Madison Memorial Fellowship Foundation","Agency Overall","2016","",""
"Marine Mammal Commission","Agency Overall","2016","",""
"Office of the United States Trade Representative","Agency Overall","2016","",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2016","",""
"National Capital Planning Commission","Agency Overall","2016","",""
"Office of Personnel Management","Agency Overall","2016","",""
"Department of Defense","Agency Overall","2016","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2016","",""
"Postal Regulatory Commission","Agency Overall","2016","",""
"Office of National Drug Control Policy","Agency Overall","2016","",""
"National Credit Union Administration","Agency Overall","2016","",""
"U.S. Commission on Civil Rights","Agency Overall","2016","",""
"United States Access Board","Agency Overall","2016","",""
"National Endowment for the Humanities","Agency Overall","2016","",""
"Department of Housing and Urban Development","Agency Overall","2016","",""
"United States International Boundary and Water Commission","Agency Overall","2016","",""
"U.S. Agency for Global Media","Agency Overall","2016","",""
"National Science Foundation","Agency Overall","2016","",""
"Department of Agriculture","Agency Overall","2016","",""
"American Battle Monuments Commission","Agency Overall","2016","",""
"Legal Services Corporation","Agency Overall","2016","",""
"Presidio Trust","Agency Overall","2016","",""
"Department of Labor","Agency Overall","2016","",""
"Federal Labor Relations Authority","Agency Overall","2016","",""
"Federal Open Market Committee","Agency Overall","2016","",""
"Office of Management and Budget","Agency Overall","2016","",""
"National Aeronautics and Space Administration","Agency Overall","2016","",""
"Consumer Financial Protection Bureau","Agency Overall","2016","",""
"Institute of Museum and Library Services","Agency Overall","2016","",""
"Office of Science and Technology Policy","Agency Overall","2016","",""
"Office of Government Ethics","Agency Overall","2016","",""
"Export-Import Bank of the U.S.","Agency Overall","2016","",""
"Department of Justice","Agency Overall","2016","",""
"Federal Financial Institutions Examination Council","Agency Overall","2016","",""
"Department of Energy","Agency Overall","2016","",""
"U.S. Department of State","Agency Overall","2016","",""
"Consumer Product Safety Commission","Agency Overall","2016","",""
"Social Security Administration","Agency Overall","2016","",""
"National Council on Disability","Agency Overall","2016","",""
"General Services Administration","Agency Overall","2016","0","4709"
"Administrative Conference of the United States","Agency Overall","2016","",""
"Farm Credit System Insurance Corporation","Agency Overall","2016","",""
"Farm Credit Administration","Agency Overall","2016","",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2016","",""
"U.S. Election Assistance Commission","Agency Overall","2016","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2016","",""
"Office of the Director of National Intelligence","Agency Overall","2016","",""
"National Endowment for the Arts","Agency Overall","2016","",""
"Tennessee Valley Authority","Agency Overall","2016","",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2016","",""
"Federal Energy Regulatory Commission","Agency Overall","2016","",""
"Millennium Challenge Corporation","Agency Overall","2016","",""
"Small Business Administration","Agency Overall","2016","",""
"Federal Reserve System","Agency Overall","2016","",""
"United States Institute of Peace","Agency Overall","2016","",""
"National Labor Relations Board","Agency Overall","2016","",""
"Department of the Treasury","Agency Overall","2016","",""
"Peace Corps","Agency Overall","2016","",""
"National Railroad Passenger Corporation","Agency Overall","2016","",""
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2016","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2016","",""
"Federal Election Commission","Agency Overall","2016","",""
"Department of Commerce","Agency Overall","2016","",""
"Federal Deposit Insurance Corporation","Agency Overall","2016","",""
"Commission of Fine Arts","Agency Overall","2016","",""
"Office of Special Counsel","Agency Overall","2016","",""
"Federal Retirement Thrift Investment Board","Agency Overall","2016","",""
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2016","",""
"Department of Homeland Security","Agency Overall","2016","",""
"Department of Transportation","Agency Overall","2016","",""
"Council on Environmental Quality","Agency Overall","2016","",""
"Department of Health and Human Services","Agency Overall","2016","",""
"All agencies","Agency Overall","2016","0","4709"
