year,agency,litigation_cost,processing_cost,total_cost,total_staff,pending_end_year,pending_start_year,processed_year,received_year,duplicate_request,fee_related,full_denial,full_grants,improper_request_other_reason,not_agency_record,no_records,other,partially_granted,records_not_described,referred_to_other_agency,withdrawn,exemption_1,exemption_2,exemption_3,exemption_4,exemption_5,exemption_6,exemption_7a,exemption_7b,exemption_7c,exemption_7d,exemption_7e,exemption_7f,exemption_8,exemption_9,general_complex_average,general_complex_high,general_complex_low,general_complex_median,general_expedited_average,general_expedited_high,general_expedited_low,general_expedited_median,general_simple_average,general_simple_high,general_simple_low,general_simple_median,granted_complex_average,granted_complex_high,granted_complex_low,granted_complex_median,granted_expedited_average,granted_expedited_high,granted_expedited_low,granted_expedited_median,granted_simple_average,granted_simple_high,granted_simple_low,granted_simple_median
2013,CPSC,0.00,966212.00,966212.00,9.00,247,258,1946,1935,23,9,33,1366,0,4,131,16,339,3,6,16,0,0,277,160,275,222,27,0,6,45,0,0,0,0,96,1159,1,53,N/A,N/A,N/A,N/A,27,402,1,11,97,1159,1,62,N/A,N/A,N/A,N/A,21,191,1,5
2014,CPSC,0.00,948000.00,948000.00,9.00,238,247,1249,1240,27,8,32,753,0,0,118,2,279,0,1,29,0,0,220,120,235,164,25,3,4,20,0,0,0,0,81,729,1,50,N/A,N/A,N/A,N/A,32,481,1,18,87,729,1,57,N/A,N/A,N/A,N/A,27,255,1,11
2015,CPSC,40000.00,893614.00,933614.00,9.00,199,254,770,715,17,6,30,272,0,2,105,0,308,9,0,21,0,0,263,149,237,190,27,0,6,18,0,0,0,0,83,1540,1,44,24,24,24,24,44,640,1,16,82,1179,1,48,N/A,N/A,N/A,N/A,44,640,1,12
2016,CPSC,16500.00,845149.00,861649.00,9.00,204,199,697,702,18,2,10,213,0,2,107,0,292,17,5,31,0,0,237,119,219,191,22,0,2,21,0,0,0,0,114,1665,1,46,N/A,N/A,N/A,N/A,28,392,1,14,96,1665,1,46,N/A,N/A,N/A,N/A,26,312,1,15
2017,CPSC,17500.00,1050594.00,1068094.00,12.00,260,213,617,664,12,4,22,193,4,0,71,0,281,0,4,26,0,0,265,103,182,195,14,0,1,40,6,0,0,0,67,851,1,38,N/A,N/A,N/A,N/A,25,404,1,7,60,543,1,39,N/A,N/A,N/A,N/A,26,404,1,6
2018,CPSC,3000.00,678663.46,681663.46,12.00,373,259,440,554,6,0,23,115,6,3,56,14,173,0,20,24,0,0,142,65,106,116,19,3,2,20,1,0,0,0,124.02,2068,<1,60,9,9,9,9,45.11,467,<1,30,110.49,2068,3,62,N/A,N/A,N/A,N/A,47,301,<1,34
2019,CPSC,0.00,434997.68,434997.68,6.00,563,374,316,505,6,0,28,46,8,1,35,23,121,0,27,21,3,3,175,36,64,98,32,1,0,7,0,0,0,0,198.49,654,1,169,47.75,96,6,44.5,89.68,437,1,36,262.51,654,2,273,88.5,96,81,88.5,148.97,437,6,99
2020,CPSC,0.00,500000.00,500000.00,8.25,512,558,506,460,0,0,203,109,4,3,0,0,156,0,13,18,0,0,174,40,50,134,29,0,11,2,0,0,0,0,219.42,841,<1,147.5,181.75,374,14,169.5,119.51,586,<1,30,242.68,841,5,180,213.33,374,14,252,142.75,586,2,51
2021,CPSC,23300.00,5557.09,28857.09,8.00,591,543,548,596,18,0,98,92,7,0,87,28,149,31,9,29,0,4,116,58,45,123,78,0,27,0,2,0,0,0,142.36,1166,<1,31,17.8,82,6,13,92.79,857,<1,15,180.44,1166,3,68,82,82,82,82,101.82,857,<1,32
2022,CPSC,0.00,18216.00,18216.00,6.00,514,576,521,459,7,0,86,90,0,10,64,74,138,13,15,24,0,1,86,48,48,102,85,1,10,0,1,0,1,0,226,1216,<1,50,304,873,13,26,118,1167,<1,15,182,1210,1,69,20,26,13,20,95,989,4,19
2023,CPSC,0.00,617439.00,617439.00,6.75,274,517,844,601,18,4,107,174,23,15,71,0,175,21,20,216,0,0,103,63,56,128,100,0,6,1,2,0,0,0,344.7,1549,<1,101,14,31,3,8,199.98,1179,<1,13,271.32,1549,3,95,8,8,8,8,256.45,1179,1,35
2024,CPSC,2000.00,675874.00,677874.00,4.75,358,276,701,783,14,1,89,136,22,42,154,14,168,20,26,15,0,0,109,68,69,121,61,0,4,0,4,0,0,0,109.36,1617,<1,47,N/A,N/A,N/A,N/A,40.48,1413,<1,8,143.89,1480,2,63,N/A,N/A,N/A,N/A,127.67,1413,3,19
2008,CSB,0.00,115589.00,115589.00,0.57,32,40,40,32,0,0,10,4,1,1,2,0,10,2,0,10,0,2,0,9,7,8,10,0,7,5,4,0,0,0,437,721,59,459,N/A,N/A,N/A,N/A,18,33,1,20,391,704,59,459,N/A,N/A,N/A,N/A,20,20,20,20
2009,CSB,0.00,74377.00,74377.00,0.39,30,32,46,44,1,0,15,2,0,0,14,0,8,0,0,6,0,2,0,6,6,6,15,0,5,5,7,0,0,0,360,1053,8,268,N/A,N/A,N/A,N/A,19,20,1,20,471,1053,23,486,N/A,N/A,N/A,N/A,14,20,1,20
2010,CSB,0.00,35000.00,35000.00,0.21,44,30,22,36,1,0,7,1,0,0,5,0,5,0,0,3,0,2,0,5,3,4,7,0,4,2,2,0,0,0,669,917,283,725,27,27,27,27,16,20,2,20,596,917,283,593,27,27,27,27,4,4,4,4
2011,CSB,0.00,46372.00,46372.00,0.27,43,44,49,48,0,0,10,6,0,1,13,0,14,0,0,5,0,6,0,10,10,8,6,0,4,3,5,0,0,0,429,1530,35,283,107,296,5,20,18,20,9,20,454,1530,35,279,296,296,296,296,16,20,13,14
2012,CSB,0.00,43200.00,43200.00,0.25,18,43,54,29,0,0,10,7,0,0,9,0,12,1,0,15,0,1,0,12,6,7,7,0,4,1,4,1,0,0,413,977,30,382,188,880,8,35,17,41,2,20,371,977,46,194,276,880,33,96,20,41,2,20
2013,CSB,0.00,1486.00,1486.00,0.75,1,18,57,40,3,0,18,23,0,0,3,0,3,0,0,7,0,0,0,21,18,21,18,0,0,0,0,0,0,0,664,1192,38,685,N/A,N/A,N/A,N/A,4,14,<1,5,664,1192,38,685,N/A,N/A,N/A,N/A,5.6,12,1,6
2014,CSB,0.00,12000.00,12000.00,1.00,11,1,54,64,0,0,7,25,0,0,13,0,6,0,0,3,0,0,0,3,1,1,4,0,1,0,1,1,0,0,16,30,9,12,2,9,1,1,2,6,1,1,16,24,11,11,3,9,1,1,2,6,1,1
2015,CSB,0.00,39043.47,39043.47,0.60,24,9,30,45,0,0,9,8,0,0,3,0,9,0,0,1,0,0,2,4,0,3,10,0,0,0,2,1,0,0,87,195,8,62,N/A,N/A,N/A,N/A,25,157,<1,19,86,195,8,80,N/A,N/A,N/A,N/A,41,157,4,16
2016,CSB,50000.00,133637.00,183637.00,0.73,21,24,48,45,1,0,3,11,0,1,12,3,16,0,0,1,0,1,0,4,6,8,3,0,0,1,0,0,0,0,121,434,2,75,24,24,24,24,9,52,<1,9,145,434,2,46,24,24,24,24,14,52,1,10
2017,CSB,3825.20,104025.72,107850.92,0.70,32,20,46,58,0,0,13,6,0,0,14,0,11,0,0,2,0,1,1,5,3,3,12,0,0,0,1,1,0,0,124,374,12,87,N/A,N/A,N/A,N/A,18,72,<1,13,108,216,49,98,N/A,N/A,N/A,N/A,16,39,1,17
2018,CSB,0.00,95000.00,95000.00,0.70,33,32,48,49,2,0,14,11,0,0,6,0,11,0,0,4,0,1,0,0,5,3,15,0,0,0,0,0,0,0,212,750,19,71,3,3,3,3,23,165,1,10,151,612,19,37,3,3,3,3,25,110,1,14
2019,CSB,2104.00,45190.00,47294.00,0.28,32,33,34,33,0,0,7,7,1,0,4,0,11,0,0,4,0,0,0,9,1,8,7,0,0,0,0,0,0,0,509,1074,2,387,59,283,2,6,13,66,<1,9,627,1074,2,796,N/A,N/A,N/A,N/A,20,66,2,18
2020,CSB,0.00,97827.00,97827.00,0.64,31,28,90,93,0,0,17,3,18,1,33,9,5,1,0,3,0,0,0,1,2,1,17,0,0,0,10,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,144.01,1384,<1,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.25,47,<1,25.5
2021,CSB,4927.00,72331.00,77258.00,0.45,76,31,134,179,0,0,22,2,4,1,70,0,0,29,1,5,0,0,0,0,0,0,22,0,0,0,22,0,0,0,N/A,N/A,N/A,N/A,52.0,52,52,52.0,32.61,245,<1,19.0,N/A,N/A,N/A,N/A,52,52,52,52,46.0,70,22,46.0
2022,CSB,3200.00,72331.00,75531.00,0.45,117,74,294,337,202,0,9,1,7,0,54,0,1,18,0,2,0,0,0,0,0,0,9,0,0,0,9,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,603,<1,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,312,603,21,312
2023,CSB,0.00,114939.58,114939.58,0.37,248,112,61,197,0,0,0,0,2,0,17,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.08,150,13,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024,CSB,0.00,94776.81,94776.81,0.45,139,262,261,138,23,0,2,14,0,0,70,30,24,88,0,10,0,0,0,0,0,23,3,0,1,0,0,0,0,0,392,1735,1,452.5,29,29,29,29,360,892,1,264.5,480,1735,35,36.5,29,29,29,29,102,202,1,51.5
2010,CSOSA,0.00,29068.50,29068.50,3.00,169,173,723,719,4,8,0,38,0,0,16,10,532,3,0,112,0,513,0,0,29,531,0,0,531,89,19,141,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.1,62,2,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.84,45,3,20.5
2011,CSOSA,0.00,248171.25,248171.25,3.00,159,169,766,756,12,1,1,32,0,1,12,15,654,0,0,38,0,654,1,0,49,645,0,0,645,95,30,86,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.92,269,<1,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.57,163,2,27
2012,CSOSA,0.00,242644.25,242644.25,3.00,31,159,803,675,6,9,0,62,1,2,18,13,633,0,0,59,0,255,0,0,32,635,0,0,629,94,35,70,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,475,1,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,363,1,16
2013,CSOSA,0.00,242644.00,242644.00,2.00,104,31,720,793,5,2,1,87,0,0,12,5,598,0,0,10,0,54,0,1,40,599,0,0,599,44,36,60,0,0,N/A,N/A,N/A,N/A,1,1,1,1,14.56,207,1,10,N/A,N/A,N/A,N/A,1,1,1,1,11.74,122,1,10
2014,CSOSA,0.00,16633.00,16633.00,1.00,58,104,770,724,0,6,1,88,23,0,14,0,598,0,0,40,0,55,0,1,28,546,0,0,546,31,33,34,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.3,401,1,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.35,202,1,14
2015,CSOSA,0.00,217603.00,217603.00,3.00,65,58,525,532,1,2,0,51,9,0,4,0,425,0,0,33,0,49,1,0,20,422,0,0,422,18,17,43,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.67,194,1,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.17,187,2,17
2016,CSOSA,0.00,9135.25,9135.25,3.00,41,65,651,627,3,2,1,88,7,0,19,0,516,0,0,15,0,66,0,5,36,514,2,2,507,39,9,31,0,0,37.5,55,20,37.5,N/A,N/A,N/A,N/A,22.15,247,<1,18,55,55,55,55,N/A,N/A,N/A,N/A,20.65,247,<1,18
2017,CSOSA,0.00,5214.25,5214.25,2.00,96,41,455,510,0,0,0,36,2,0,9,0,288,0,0,120,0,9,0,2,123,286,1,0,284,16,2,22,0,0,68.83,197,1,43,N/A,N/A,N/A,N/A,31.92,146,<1,20,69.5,103,36,69.5,N/A,N/A,N/A,N/A,21.86,92,<1,19
2018,CSOSA,0.00,452255.80,452255.80,5.53,13,93,517,437,5,0,2,13,6,1,17,0,421,0,0,52,0,0,0,6,183,423,2,0,420,0,6,121,0,0,32.93,194,4,22.5,N/A,N/A,N/A,N/A,25.3,188,<1,21,24,34,4,29,N/A,N/A,N/A,N/A,25.3,188,<1,21
2019,CSOSA,0.00,188585.00,188585.00,2.00,N/A,13,271,258,0,0,6,13,2,0,13,0,235,0,0,2,0,0,10,14,5,234,1,0,224,2,20,1,0,0,9.25,78,<1,8,N/A,N/A,N/A,N/A,4.13,19,<1,3,8.33,78,<1,7,N/A,N/A,N/A,N/A,4.13,19,<1,3
2020,CSOSA,0.00,229109.82,229109.82,2.00,N/A,N/A,207,207,0,0,0,11,0,0,20,0,165,5,0,6,0,0,0,8,89,164,1,0,158,0,98,0,0,0,12,20,1,16,N/A,N/A,N/A,N/A,2,17,1,1,13,20,1,16,N/A,N/A,N/A,N/A,2,17,1,1
2021,CSOSA,0.00,204091.00,204091.00,2.00,N/A,N/A,99,99,0,0,1,15,0,0,8,0,71,1,0,3,0,0,0,4,39,72,0,0,64,0,59,1,0,0,17,20,7,19,N/A,N/A,N/A,N/A,7,19,1,9,18,20,9,19,N/A,N/A,N/A,N/A,9,19,1,11
2022,CSOSA,0.00,279895.00,279895.00,3.00,11,N/A,279,290,10,1,3,11,29,0,108,0,110,1,0,6,0,0,1,3,7,111,0,0,100,0,101,0,0,0,17,20,1,19,N/A,N/A,N/A,N/A,3,17,1,1,17,20,1,19,0,N/A,N/A,0,6,17,1,7
2023,CSOSA,0.00,307091.00,307091.00,3.00,23,11,342,354,3,0,0,16,36,0,146,0,126,3,0,12,0,0,1,2,4,124,0,0,118,0,117,0,0,0,17,20,1,19,N/A,N/A,N/A,N/A,3,20,1,1,17,20,1,19,N/A,N/A,N/A,N/A,10,20,1,11
2024,CSOSA,0.00,326155.00,326155.00,3.00,15,23,596,588,2,4,7,32,87,2,264,0,184,4,0,10,0,2,2,3,8,189,0,0,162,1,167,1,0,0,16,20,1,18,N/A,N/A,N/A,N/A,2,20,1,1,17,20,1,19,N/A,N/A,N/A,N/A,11,20,1,16
2016,DC,0.00,100.00,100.00,0.05,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,DC,0.00,100.00,100.00,0.05,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,DC,0.00,100.00,100.00,0.05,N/A,N/A,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,28,1,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,28,1,14
2019,DC,0.00,100.00,100.00,0.10,N/A,N/A,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,24,1,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,24,1,12
2020,DC,0.00,1000.00,1000.00,0.10,N/A,N/A,11,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,14,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,14,1,3
2021,DC,0.00,170000.00,170000.00,1.00,N/A,N/A,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, 2,4,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,1,2
2022,DC,0.00,100.00,100.00,1.01,N/A,N/A,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0,N/A,N/A,N/A,2,5,1,3,0,N/A,N/A,N/A,0,N/A,N/A,N/A,2,5,1,3
2023,DC,0.00,100.00,100.00,0.01,N/A,N/A,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,13,1,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,13,1,4
2024,DC,0.00,1000.00,1000.00,1.00,N/A,N/A,34,34,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,10,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,10,1,3
2020,DFC,9780.00,162968.00,172748.00,1.75,52,6,48,94,0,0,0,6,1,0,16,0,19,3,0,3,0,0,1,7,6,17,0,0,0,0,0,0,0,0,76.4,142,6,48,54,97,24,41,11.6,64,<1,2.5,109.33,142,46,140,97,97,97,97,14.86,64,<1,2
2021,DFC,9900.00,162958.00,172858.00,1.75,73,53,61,81,1,0,1,16,0,0,11,0,25,2,0,5,0,0,0,10,2,24,0,0,0,0,0,0,0,0,5,5,5,5,300,300,300,300,43.32,321,1,13,N/A,N/A,N/A,N/A,300,300,300,300,15,321,0,52.23
2022,DFC,9900.00,162958.00,172858.00,1.75,69,73,44,40,0,0,0,5,0,0,8,0,29,0,0,2,0,0,0,17,7,29,0,0,0,0,0,0,0,0,145.09,326,14,113,406,406,406,406,109.87,350,2,27,200.43,326,79,238,406,406,406,406,126.08,350,2,32
2023,DFC,9900.00,162958.00,172858.00,1.50,89,69,30,50,0,0,0,2,0,0,9,0,17,1,0,1,0,0,0,3,3,17,0,0,0,0,0,0,0,0,134.33,328,8,67,N/A,N/A,N/A,N/A,28.08,328,2,17,197.5,328,67,197.5,N/A,N/A,N/A,N/A,31.13,279,2,10.5
2024,DFC,0.00,312456.00,312456.00,2.20,125,89,45,81,0,0,0,5,1,0,7,0,27,4,0,1,0,0,0,3,4,22,0,0,11,0,0,0,0,0,333.2,1068,22,113.5,N/A,N/A,N/A,N/A,27.35,153,2,23,295,295,295,295,N/A,N/A,N/A,N/A,31.143,153,3,22.5
2008,DHS,919467.66,23166149.02,24085616.68,318.61,83743,83819,109028,108952,5529,147,1190,12405,16391,2013,8616,247,55963,138,4581,1808,138,42766,307,371,34745,39084,772,67,43728,162,35800,88,0,0,280.38,2860,1,374,57.85,439,1,23,146.31,1064,1,87,293.1,2860,1,377,56.35,439,1,22,174.77,977,1,123
2009,DHS,2208352.19,40871432.56,43079784.75,382.31,27182,84096,160007,103093,4048,269,1805,18142,20485,2157,10334,619,96928,223,4046,951,15,70544,1035,491,59510,72875,1469,17,80011,71,69454,17,0,0,309.89,3265,1,339.36,91.28,1175,1,7.5,103.86,1396,<1,40,141.26,1869,1,45,85.38,315,1,34.44,98.09,1396,<1,79.29
2010,DHS,1985762.31,36678628.06,38664390.37,435.25,18635,27188,138651,130098,1399,328,967,16721,17408,4332,11257,305,78626,262,6333,713,92,53828,1670,1051,41828,54548,616,20,64905,68,55198,15,0,0,87.96,1965,1,43.84,36.24,668,1,7.5,39.31,1087,1,35,82.89,1965,1,35,41.8,187,2,13.01,62.07,1087,1,49
2011,DHS,1956380.20,33361701.24,35318081.44,388.54,48493,18468,145631,175656,2633,184,614,15203,15695,4743,15053,598,83198,306,6636,768,19,17807,1941,510,31601,58710,241,4,68467,86,52174,74,0,0,78.31,1529,1,68,155.1,836,1,17,37.4,1182,1,11,91.59,1529,1,79,89.52,450,1,16,38.98,1182,1,12
2012,DHS,1884873.63,36748128.58,38633002.21,397.61,35837,51143,205895,190589,7927,250,1097,21715,15590,5448,21608,920,118719,306,7288,5027,20,480,3884,559,54121,80933,328,14,99597,91,93985,108,0,0,98.6,1648,1,98,59.67,813,1,22,72,1780,1,44,118.41,1648,1,125,58.57,813,1,22,71.72,1780,1,46
2013,DHS,3665649.84,41359751.48,45025401.32,603.66,65676,38474,204332,231534,12647,276,4378,18840,14378,4879,23942,1210,120300,660,2121,701,15,401,4363,340,55238,82292,282,14,102582,100,97464,53,0,0,92.6485714285714,2120,1,37.5,44.01125,219,1,21,36.7086666666667,923,1,11,101.369285714286,2120,1,58.25,56.1257142857143,219,1,26.37,36.8478571428571,544,1,16.5
2014,DHS,2332884.06,49364996.01,51697880.07,459.48,120308,67097,238031,291242,20578,194,6212,16651,15766,11565,30689,2391,128603,610,3612,1160,59,325,5131,396,46293,89953,341,978,108259,248,108398,125,0,0,111.59,1820,1,48,103.49,855,1,24,20.37,550,1,8,115.77,1820,1,55,168.9,855,1,28.77,22.04,550,1,9
2015,DHS,1414674.17,51918432.79,53333106.96,597.57,49294,117034,348878,281138,17223,202,6819,15579,15394,13430,55737,4362,216903,1115,1183,931,45,822,12728,473,42931,178929,759,836,193239,465,193826,1725,0,0,107.57,2083,1,52.06,35.31,428,1,14,25.44,1306,1,9,101.67,2083,1,52.75,31.15,428,1,13.7,23.9,1282,1,8
2016,DHS,6256163.97,50810765.64,57066929.61,528.98,64374,49143,310549,325780,18411,226,5038,17281,18010,4205,55898,1924,186054,1634,835,1033,33,1310,9227,1683,34173,147714,324,332,161583,169,161194,178,0,0,73.4,1770,<1,82,26.71,468,<1,11,32.91,1202,<1,10,90.25,1770,<1,86,23.85,468,<1,11,33.06,1202,<1,9
2017,DHS,3371007.54,53298043.08,56669050.62,552.19,62819,64328,367545,366036,23503,38,5107,28966,21040,4893,69869,504,209057,2169,913,1486,27,773,36517,466,35928,151586,278,15203,156168,18523,157567,182,8,0,93.51,1586,<1,111.66,48.3,537,<1,25.67,39.11,1302,<1,28.77,119.01,1586,<1,121.25,48.3,396,<1,25.67,40.64,1211,<1,30.83
2018,DHS,7479639.76,69205797.03,76685436.79,591.08,83774,62968,374945,395751,21488,42,6103,25696,19947,4220,65915,627,226015,1549,1564,1779,92,593,40322,380,32962,168917,267,100,188107,175,193799,224,6,0,79.53,1593,1,103,62.36,560,1,24,27.37,965,1,16,98.44,1593,1,106,51.4,560,1,22,26.76,947,1,13
2019,DHS,3814896.44,68183700.62,71998597.06,607.64,58680,88233,429798,400245,25861,16,6143,32233,23436,4070,74166,1036,255653,3481,2005,1698,18,378,48743,493,44035,193263,604,107,226859,406,236033,326,8,2,66,1820,<1,43,61,676,1,20,33,858,<1,17,31,1820,<1,15,52,692,1,18,28,858,<1,9
2020,DHS,3955813.57,66991208.80,70947022.37,611.45,68422,63374,392623,397671,17030,16,9334,35764,25420,1665,77240,330,217915,2701,3498,1710,13,491,44858,787,35504,179586,313,248,199990,90,201074,244,2,0,73.8,1983,<1,51,103.8,903,<1,26,34.1,1183,<1,16,70.8,1972,<1,51,105.2,903,1,23,33.6,1060,<1,16
2021,DHS,2005475.60,70896089.78,72901565.38,623.23,58897,83594,467347,442650,12870,45,12553,40491,19835,2124,122389,1115,249515,1061,3745,1604,12,408,59822,863,47854,212224,269,110,221800,207,234072,243,8,3,63,1905,<1,20,132,1628,0,87,29,1164,<1,18,55,1857,<1,28,142,1628,5,81,35,1164,0,19
2022,DHS,2565679.38,75245632.45,77811311.83,660.94,101833,68062,506036,539807,18000,122,13190,44490,32963,4751,133055,962,250545,749,4473,2732,6,442,57159,622,45110,207788,327,33,219596,73,231702,156,2,4,83,1924,20,106,196,896,<1,20,11,20,<1,8,86,1853,21,64,230,821,<1,58,16,20,<1,8
2023,DHS,2755773.62,89820469.75,92576243.37,639.00,199085,104434,580205,674856,18068,143,13039,37713,53797,12892,180467,770,245237,1341,13154,3584,5,458,51440,409,43326,195484,287,17,220272,38,201589,72,0,0,104,2484,<1,94,157,720,<1,92,5,38,<1,2,91,2484,<1,75,170,1478,<1,152,11,38,<1,10
2024,DHS,943550.81,92629128.92,93572679.73,809.00,220129,203533,894939,911535,31550,118,18055,39712,80912,28303,294914,1493,365330,2359,25644,6549,11,616,61440,456,58594,294575,397,7,437455,77,335399,133,1,0,57,2086,<1,28,105,1252,<1,35,5,34,<1,3,54,2086,1,28,146,578,<1,136,11,34,<1,9
2008,DNFSB,0.00,2763.85,2763.85,1.01,N/A,1,27,26,1,0,1,9,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.3,19,1,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.4,19,1,8
2009,DNFSB,0.00,2848.00,2848.00,0.11,N/A,3,16,13,0,0,0,5,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,2,2,2,2,9,35,1,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,35,1,14
2010,DNFSB,0.00,4512.50,4512.50,0.12,N/A,N/A,19,19,0,0,0,4,0,0,10,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,47,47,47,N/A,N/A,N/A,N/A,7,29,<1,5,47,47,47,47,N/A,N/A,N/A,N/A,6,9,1,6
2011,DNFSB,0.00,4500.25,4500.25,0.12,2,N/A,22,24,0,0,2,9,0,0,7,0,3,0,0,1,0,2,0,1,2,3,0,0,1,0,0,0,0,0,62,62,62,62,N/A,N/A,N/A,N/A,14,20,3,14,62,62,62,62,N/A,N/A,N/A,N/A,13,20,3,19
2012,DNFSB,0.00,3595.50,3595.50,0.06,N/A,2,12,10,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,22,1,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,22,1,7
2013,DNFSB,0.00,3595.50,3595.50,0.12,3,N/A,14,17,0,0,1,1,0,0,9,0,2,1,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,N/A,N/A,N/A,N/A,7,8,6,7,14.53,39,6,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,39,10,19.5
2014,DNFSB,0.00,51946.33,51946.33,0.51,2,3,31,30,1,0,4,5,1,0,5,0,11,0,1,3,0,0,0,0,4,14,1,0,0,0,1,0,0,0,N/A,N/A,N/A,N/A,18,35,3,18,30.48,256,1,16,N/A,N/A,N/A,N/A,13,20,3,16,22.33,75,1,16
2015,DNFSB,0.00,64376.13,64376.13,0.72,2,3,20,19,0,0,1,6,0,0,6,0,6,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,36,50,31,33,N/A,N/A,N/A,N/A,10.6,20,1,12,37.25,50,31,34,N/A,N/A,N/A,N/A,13,20,4,14
2016,DNFSB,0.00,64000.00,64000.00,0.50,N/A,3,21,18,0,0,0,5,0,0,5,1,9,0,1,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,32.5,41,28,30.5,69,69,69,69,12.94,48,<1,10.5,33,41,28,30,69,69,69,69,10.5,20,<1,10
