"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"National Endowment for the Arts","Agency Overall","2014","0","1.00","1.00"
"Department of Housing and Urban Development","Agency Overall","2014","8","23.77","31.77"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","1.15","1.15"
"Postal Regulatory Commission","Agency Overall","2014","0","3.00","3.00"
"Inter-American Foundation","Agency Overall","2014","0","0.10","0.10"
"Department of Homeland Security","Agency Overall","2014","364","95.48","459.48"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","1.00","1.00"
"United States Copyright Office","Agency Overall","2014","0","0.07","0.07"
"Office of Special Counsel","Agency Overall","2014","1","1.70","2.70"
"United States International Trade Commission","Agency Overall","2014","0","1.50","1.50"
"Environmental Protection Agency","Agency Overall","2014","70","5.98","75.98"
"Federal Open Market Committee","Agency Overall","2014","0","0.93","0.93"
"Securities and Exchange Commission","Agency Overall","2014","28","2.55","30.55"
"Millennium Challenge Corporation","Agency Overall","2014","0","0.15","0.15"
"Legal Services Corporation","Agency Overall","2014","0","0.60","0.60"
"Federal Communications Commission","Agency Overall","2014","3","15.00","18.00"
"Federal Trade Commission","Agency Overall","2014","1","9.61","10.61"
"Department of the Interior","Agency Overall","2014","42","80.13","122.13"
"National Science Foundation","Agency Overall","2014","0","2.38","2.38"
"Court Services and Offender Supervision Agency","Agency Overall","2014","1","0.00","1.00"
"Overseas Private Investment Corporation","Agency Overall","2014","0","1.20","1.20"
"Equal Employment Opportunity Commission","Agency Overall","2014","29","6.97","35.97"
"Department of Agriculture","Agency Overall","2014","67","100.85","167.85"
"National Railroad Passenger Corporation","Agency Overall","2014","2","2.00","4.00"
"Consumer Product Safety Commission","Agency Overall","2014","7","2.00","9.00"
"Commodity Futures Trading Commission","Agency Overall","2014","1","1.83","2.83"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","0.17","0.17"
"Department of Justice","Agency Overall","2014","385","85.16","470.16"
"Office of the United States Trade Representative","Agency Overall","2014","1","0.60","1.60"
"U.S. Agency for International Development","Agency Overall","2014","10","9.00","19.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","1.00","1.00"
"U.S. Department of State","Agency Overall","2014","64","63.09","127.09"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","1.00","1.00"
"National Mediation Board","Agency Overall","2014","0","0.50","0.50"
"Nuclear Regulatory Commission","Agency Overall","2014","14","4.00","18.00"
"United States Trade and Development Agency","Agency Overall","2014","0","0.10","0.10"
"Department of Veterans Affairs","Agency Overall","2014","20","178.70","198.70"
"National Aeronautics and Space Administration","Agency Overall","2014","11","2.46","13.46"
"Federal Election Commission","Agency Overall","2014","0","1.62","1.62"
"Federal Housing Finance Agency","Agency Overall","2014","0","3.07","3.07"
"Office of Science and Technology Policy","Agency Overall","2014","0","0.90","0.90"
"Merit Systems Protection Board","Agency Overall","2014","1","1.00","2.00"
"Federal Deposit Insurance Corporation","Agency Overall","2014","7","6.50","13.50"
"Selective Service System","Agency Overall","2014","0","0.15","0.15"
"Social Security Administration","Agency Overall","2014","11","34.00","45.00"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0.25","0.25"
"General Services Administration","Agency Overall","2014","11","12.00","23.00"
"Office of Government Ethics","Agency Overall","2014","0","1.50","1.50"
"Tennessee Valley Authority","Agency Overall","2014","1","0.40","1.40"
"Department of Defense","Agency Overall","2014","353","401.24","754.24"
"Office of the Director of National Intelligence","Agency Overall","2014","2","2.00","4.00"
"National Indian Gaming Commission","Agency Overall","2014","1","1.08","2.08"
"Consumer Financial Protection Bureau","Agency Overall","2014","5","0.00","5.00"
"Administrative Conference of the United States","Agency Overall","2014","0","0.07","0.07"
"American Battle Monuments Commission","Agency Overall","2014","0","0.02","0.02"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","1.50","1.50"
"Department of Transportation","Agency Overall","2014","33","52.78","85.78"
"Central Intelligence Agency","Agency Overall","2014","65","27.00","92.00"
"Council on Environmental Quality","Agency Overall","2014","0","0.75","0.75"
"National Archives and Records Administration","Agency Overall","2014","9","26.00","35.00"
"National Transportation Safety Board","Agency Overall","2014","2","6.00","8.00"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0.40","0.40"
"Department of Health and Human Services","Agency Overall","2014","169","114.70","283.70"
"All agencies","Agency Overall","2014","2014","1824.63","3838.63"
