"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Surface Transportation Board","Agency Overall","2014","0","0.33","0.33"
"Office of National Drug Control Policy","Agency Overall","2014","0","0.40","0.40"
"National Endowment for the Humanities","Agency Overall","2014","0","1.25","1.25"
"Federal Reserve System","Agency Overall","2014","9","12.00","21.00"
"Armed Forces Retirement Home","Agency Overall","2014","0","0.50","0.50"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0.25","0.25"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","1.00","1.00"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","1.00","1.00"
"National Capital Planning Commission","Agency Overall","2014","0","0.03","0.03"
"National Labor Relations Board","Agency Overall","2014","6","8.56","14.56"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","12","0.06","12.06"
"Department of the Treasury","Agency Overall","2014","42","109.56","151.56"
"Peace Corps","Agency Overall","2014","0","0.85","0.85"
"Department of Energy","Agency Overall","2014","56","39.85","95.85"
"United States International Boundary and Water Commission","Agency Overall","2014","0","2.00","2.00"
"Department of Commerce","Agency Overall","2014","4","35.57","39.57"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0.75","0.75"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","1.50","1.50"
"United States African Development Foundation","Agency Overall","2014","0","0.04","0.04"
"Office of Personnel Management","Agency Overall","2014","9","4.50","13.50"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0.25","0.25"
"Institute of Museum and Library Services","Agency Overall","2014","0","0.15","0.15"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0.51","0.51"
"Department of Education","Agency Overall","2014","14","38.91","52.91"
"Export-Import Bank of the U.S.","Agency Overall","2014","2","0.53","2.53"
"National Credit Union Administration","Agency Overall","2014","0","1.59","1.59"
"Small Business Administration","Agency Overall","2014","3","12.00","15.00"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","3.00","3.00"
"Federal Labor Relations Authority","Agency Overall","2014","0","0.45","0.45"
"Department of Labor","Agency Overall","2014","41","121.94","162.94"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0.00","0.00"
"U.S. Agency for Global Media","Agency Overall","2014","0","1.25","1.25"
"Office of Management and Budget","Agency Overall","2014","1","1.50","2.50"
"United States Postal Service","Agency Overall","2014","14","16.50","30.50"
"Federal Maritime Commission","Agency Overall","2014","1","0.26","1.26"
"Farm Credit Administration","Agency Overall","2014","0","1.00","1.00"
"Federal Energy Regulatory Commission","Agency Overall","2014","1","3.13","4.13"
