year,facility_type,result,count
2024,Indian,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,184
2024,Indian,Establishment re-opened by DOHMH.,22
2024,Indian,No violations were recorded at the time of this inspection.,9
2024,Hamburgers,Violations were cited in the following area(s).,1343
2024,Hamburgers,No violations were recorded at the time of this inspection.,16
2024,Hamburgers,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,2
2024,Hamburgers,Establishment re-opened by DOHMH.,1
2024,Donuts,No violations were recorded at the time of this inspection.,17
2024,Donuts,Violations were cited in the following area(s).,1509
2024,Donuts,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,22
2024,Donuts,Establishment re-opened by DOHMH.,4
2024,French,Violations were cited in the following area(s).,820
2024,French,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,6
2024,French,Establishment re-opened by DOHMH.,2
2024,French,No violations were recorded at the time of this inspection.,4
2024,Barbecue,Violations were cited in the following area(s).,185
2024,Barbecue,No violations were recorded at the time of this inspection.,2
2024,Asian/Asian Fusion,Violations were cited in the following area(s).,1827
2024,Asian/Asian Fusion,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,90
2024,Asian/Asian Fusion,No violations were recorded at the time of this inspection.,13
2024,Asian/Asian Fusion,Establishment re-opened by DOHMH.,13
2024,Bakery Products/Desserts,No violations were recorded at the time of this inspection.,25
2024,Bakery Products/Desserts,Establishment re-opened by DOHMH.,26
2024,Bakery Products/Desserts,Violations were cited in the following area(s).,3496
2024,Bakery Products/Desserts,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,159
2024,Bakery Products/Desserts,Establishment re-closed by DOHMH.,15
2024,Jewish/Kosher,Violations were cited in the following area(s).,1272
2024,Jewish/Kosher,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,102
2024,Jewish/Kosher,Establishment re-opened by DOHMH.,15
2024,Jewish/Kosher,No violations were recorded at the time of this inspection.,3
2024,Other,No violations were recorded at the time of this inspection.,13
2024,Other,Violations were cited in the following area(s).,1320
2024,Other,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,11
2024,Salads,Violations were cited in the following area(s).,291
2024,Salads,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,17
2024,Salads,Establishment re-opened by DOHMH.,3
2024,Salads,Establishment re-closed by DOHMH.,2
2024,Salads,No violations were recorded at the time of this inspection.,1
2024,Bangladeshi,Violations were cited in the following area(s).,365
2024,Bangladeshi,Establishment re-opened by DOHMH.,10
2024,Bangladeshi,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,77
2024,Bangladeshi,Establishment re-closed by DOHMH.,4
2024,African,Violations were cited in the following area(s).,420
2024,African,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,55
2024,African,No violations were recorded at the time of this inspection.,7
2024,African,Establishment re-opened by DOHMH.,8
2024,African,Establishment re-closed by DOHMH.,11
2024,Turkish,Violations were cited in the following area(s).,222
2024,Turkish,Establishment re-closed by DOHMH.,14
2024,Turkish,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,24
2024,Turkish,Establishment re-opened by DOHMH.,4
2024,Southeast Asian,Violations were cited in the following area(s).,302
2024,Southeast Asian,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,22
2024,Southeast Asian,No violations were recorded at the time of this inspection.,1
2024,Southeast Asian,Establishment re-opened by DOHMH.,5
2024,Frozen Desserts,Violations were cited in the following area(s).,950
2024,Frozen Desserts,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,3
2024,Frozen Desserts,No violations were recorded at the time of this inspection.,7
2024,Frozen Desserts,Establishment re-opened by DOHMH.,2
2024,Continental,Violations were cited in the following area(s).,135
2024,Continental,No violations were recorded at the time of this inspection.,1
2024,Bottled Beverages,Violations were cited in the following area(s).,336
2024,Bottled Beverages,No violations were recorded at the time of this inspection.,8
2024,Chinese/Cuban,Violations were cited in the following area(s).,56
2024,Chinese/Cuban,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,9
