"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"United States Access Board","Agency Overall","2017","3","5.6","<1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2017","12","14.5","3","79","50.5","97.2","11","448","20","20","20","20"
"U.S. Railroad Retirement Board","Agency Overall","2017","970","337.75","2","1069","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2017","10","13.2","<1","123","49","130.6","<1","1340","11","75.33","<1","882"
"United States International Boundary and Water Commission","Agency Overall","2017","10.5","22","1","80","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2017","20","27.87","<1","1124","83","167.24","<1","1625","60","129.47","1","1481"
"National Indian Gaming Commission","Agency Overall","2017","85","126.3","1","504","267","289.47","60","663","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2017","13","16","1","86","99","157","21","523","3","5","1","12"
"National Council on Disability","Agency Overall","2017","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2017","7","8","<1","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2017","28.77","39.11","<1","1302","111.66","93.51","<1","1586","25.67","48.3","<1","537"
"Federal Housing Finance Agency","Agency Overall","2017","6","10.62","<1","154","39","128.61","<1","984","23","21","9","31"
"Consumer Product Safety Commission","Agency Overall","2017","7","25","1","404","38","67","1","851","N/A","N/A","N/A","N/A"
"Denali Commission","Agency Overall","2017","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2017","5.5","6","4","9","24","30.3","4","77","10","10","10","10"
"National Railroad Passenger Corporation","Agency Overall","2017","10.5","51.36","1","471","32","129.53","1","922","422","380.78","49","542"
"Social Security Advisory Board","Agency Overall","2017","5","5","5","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2017","14","10.75","4","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2017","21","48.23","<1","752","52","164.61","<1","2296","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2017","7","9.26","<1","22","N/A","N/A","N/A","N/A","3","3","3","3"
"Postal Regulatory Commission","Agency Overall","2017","10","11","2","29","N/A","N/A","N/A","N/A","8","8","8","8"
"Office of Science and Technology Policy","Agency Overall","2017","6.5","24.063","1","183","245","244","5","541","172.5","125.3","10","182"
"Office of Government Ethics","Agency Overall","2017","18","18.4","1","128","N/A","N/A","N/A","N/A","14","17.3","1","67"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","1","1.66","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2017","79","252.53","<1","1017","508.5","448.63","1","1230","2","2","2","2"
"Peace Corps","Agency Overall","2017","24","65","<1","767","196","300","45","973","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2017","5.5","7.08","<1","22","N/A","N/A","N/A","N/A","4","5.33","1","16"
