"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Securities and Exchange Commission","Agency Overall","2017","9","15.91","<1","445","786","773.5","644","916","11","11","11","11"
"Institute of Museum and Library Services","Agency Overall","2017","19","21.76","6","40","47","56.71","38","98","9","9","9","9"
"Office of National Drug Control Policy","Agency Overall","2017","10","27","1","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2017","25","42","<1","214","157","145","101","157","6","6","4","9"
"Central Intelligence Agency","Agency Overall","2017","12","59.2","2","664","225.5","391.46","11","2713","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","20","18","2","43","89","118","46","267","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","8.5","8.5","3","14","49","49","38","60","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2017","8","9.8","<1","40","28","37.62","<1","217","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2017","15.75","14.03","1","43","N/A","N/A","N/A","N/A","12.5","13.25","9","19"
"Selective Service System","Agency Overall","2017","4","4","1","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2017","6","7","1","14","2","6","1","21","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2017","3.5","3.6","<1","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2017","13","12.55","<1","38","37","57.58","21","322","33","39.98","1","120"
"Inter-American Foundation","Agency Overall","2017","11.5","9","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2017","14","110","1","1112","85","229","1","1449","16","16","6","27"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","5","7.21","1","24","N/A","N/A","N/A","N/A","1","1","1","1"
"Department of Education","Agency Overall","2017","13","16.88","<1","492","54","111.72","1","1254","17","17","17","17"
"Millennium Challenge Corporation","Agency Overall","2017","14","14","3","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","N/A","N/A","N/A","N/A","67.5","59.75","13","91","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2017","396","371.63","1","2067","485","678.56","3","2822","526.5","454.32","34","1228"
"Department of the Treasury","Agency Overall","2017","5","15","<1","1508","20","41","<1","2286","34","59","<1","222"
"Consumer Financial Protection Bureau","Agency Overall","2017","10","13.05","<1","78","35","38.17","23","86","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","1","2.89","<1","25","4","13","1","43","1","1","1","1"
