"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Securities and Exchange Commission","Agency Overall","2017","7895241.00","381224.00","8276465.00","35025.15","0.4400"
"Institute of Museum and Library Services","Agency Overall","2017","32650.00","0.00","32650.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2017","50000.00","0.00","50000.00","0.00","0.0000"
"Federal Mediation and Conciliation Service","Agency Overall","2017","75000.00","0.00","75000.00","0.00","0.0000"
"Central Intelligence Agency","Agency Overall","2017","8444566.00","2500000.00","10944566.00","856.50","0.0100"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","66510.00","0.00","66510.00","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","25200.00","0.00","25200.00","6600.00","26.1900"
"National Aeronautics and Space Administration","Agency Overall","2017","1396777.31","0.00","1396777.31","21873.47","1.5700"
"Legal Services Corporation","Agency Overall","2017","46048.00","0.00","46048.00","0.00","0.0000"
"Selective Service System","Agency Overall","2017","2409.73","0.00","2409.73","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2017","49514.00","0.00","49514.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2017","33959.19","0.00","33959.19","0.00","0.0000"
"General Services Administration","Agency Overall","2017","893619.04","2650.00","896269.04","39237.05","4.3900"
"Inter-American Foundation","Agency Overall","2017","10000.00","0.00","10000.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2017","293203.00","0.00","293203.00","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","26000.00","0.00","26000.00","0.00","0.0000"
"Department of Education","Agency Overall","2017","6399906.00","200011.00","6599917.00","5870.33","0.0900"
"Millennium Challenge Corporation","Agency Overall","2017","15000.00","0.00","15000.00","0.00","0.0000"
