"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","2700.00","0.00","2700.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2017","27802095.00","9503777.00","37305872.00","8228.89","0.0300"
"Department of the Treasury","Agency Overall","2017","14159007.96","810504.47","14969512.43","347293.38","2.4500"
"Consumer Financial Protection Bureau","Agency Overall","2017","616798.00","19303.00","636101.00","26656.83","4.3200"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","120000.00","0.00","120000.00","718.25","0.6000"
"Office of Management and Budget","Agency Overall","2017","320905.00","16000.00","336905.00","0.00","0.0000"
"Department of Labor","Agency Overall","2017","16076867.75","500300.00","16577167.75","190920.54","1.1900"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","344835.95","0.00","344835.95","2763.37","0.8000"
"National Mediation Board","Agency Overall","2017","69500.00","0.00","69500.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2017","111394.00","0.00","111394.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2017","2824700.00","89177.00","2913877.00","7571.24","0.2700"
"National Archives and Records Administration","Agency Overall","2017","5379158.00","19500.00","5398658.00","167.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2017","1000.00","0.00","1000.00","0.00","0.0000"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","75732.00","0.00","75732.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2017","992879.85","39515.97","1032395.82","20946.08","2.1100"
"Office of Personnel Management","Agency Overall","2017","2186087.85","19121.00","2205208.85","8176.58","0.3700"
"National Endowment for the Arts","Agency Overall","2017","83000.00","0.00","83000.00","0.00","0.0000"
"United States Postal Service","Agency Overall","2017","3597622.50","16773.94","3614396.44","33652.00","0.9400"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"United States African Development Foundation","Agency Overall","2017","9000.00","0.00","9000.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2017","3668695.55","284591.85","3953287.40","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2017","293472.00","0.00","293472.00","228.50","0.0800"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","82377.00","0.00","82377.00","2265.95","2.7500"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","3187.00","0.00","3187.00","0.00","0.0000"
"Small Business Administration","Agency Overall","2017","317779.00","0.00","317779.00","38653.22","12.1600"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","83650.00","0.00","83650.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2017","3221524.08","800.00","3222324.08","42174.01","1.3100"
"Department of Transportation","Agency Overall","2017","11613132.42","417067.67","12030200.09","332260.27","2.8600"
"United States Trade and Development Agency","Agency Overall","2017","26000.00","0.00","26000.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2017","2948105.11","20221.57","2968326.68","29609.38","1.0000"
"Tennessee Valley Authority","Agency Overall","2017","229620.00","0.00","229620.00","9150.85","3.9900"
"U.S. Agency for Global Media","Agency Overall","2017","98677.50","32892.50","131570.00","353.65","0.3600"
"Environmental Protection Agency","Agency Overall","2017","16908244.47","931689.28","17839933.75","196211.26","1.1600"
"Nuclear Regulatory Commission","Agency Overall","2017","2168781.00","0.00","2168781.00","17891.00","0.8200"
"Administrative Conference of the United States","Agency Overall","2017","42418.00","0.00","42418.00","0.00","0.0000"
"Department of the Interior","Agency Overall","2017","13842764.21","796756.95","14639521.16","75331.72","0.5400"
"U.S. Election Assistance Commission","Agency Overall","2017","28770.00","0.00","28770.00","0.00","0.0000"
"Armed Forces Retirement Home","Agency Overall","2017","31030.00","0.00","31030.00","202.15","0.6500"
"Appraisal Subcommittee","Agency Overall","2017","630.00","0.00","630.00","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","9800.00","0.00","9800.00","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2017","430706.00","14600.00","445306.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2017","36467.76","0.00","36467.76","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2017","2086282.21","4710.86","2090993.07","12447.27","0.6000"
"Department of Health and Human Services","Agency Overall","2017","52306438.13","1040055.00","53346493.13","603281.94","1.1500"
"United States Institute of Peace","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2017","78609.47","0.00","78609.47","33954.37","43.1900"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2017","205918.00","0.00","205918.00","0.00","0.0000"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"Overseas Private Investment Corporation","Agency Overall","2017","152771.50","0.00","152771.50","101.87","0.0700"
"United States International Trade Commission","Agency Overall","2017","4659.85","0.00","4659.85","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2017","100200.00","0.00","100200.00","0.00","0.0000"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","8095.00","0.00","8095.00","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","104025.72","3825.20","107850.92","1040.00","1.0000"
"Merit Systems Protection Board","Agency Overall","2017","254266.00","0.00","254266.00","0.00","0.0000"
"Department of Defense","Agency Overall","2017","76655949.89","4011777.42","80667727.31","227278.00","0.3000"
"Federal Energy Regulatory Commission","Agency Overall","2017","439841.00","0.00","439841.00","0.00","0.0000"
"Department of Agriculture","Agency Overall","2017","16931740.49","1024209.19","17955949.68","59091.13","0.3500"
"Social Security Administration","Agency Overall","2017","2975095.41","34832.98","3009928.39","361437.60","12.1500"
"Federal Reserve System","Agency Overall","2017","1728220.00","60000.00","1788220.00","1281.00","0.0700"
"Commission of Fine Arts","Agency Overall","2017","5375.00","0.00","5375.00","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2017","902902.32","0.00","902902.32","7422.72","0.8200"
"Council on Environmental Quality","Agency Overall","2017","82000.00","0.00","82000.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2017","23618.40","0.00","23618.40","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2017","47037.52","0.00","47037.52","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2017","12702181.07","239320.99","12941502.06","40519.70","0.3200"
"Federal Financial Institutions Examination Council","Agency Overall","2017","20336.00","0.00","20336.00","0.00","0.0000"
"Office of the Director of National Intelligence","Agency Overall","2017","1580000.00","0.00","1580000.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2017","5214.25","0.00","5214.25","0.00","0.0000"
"Occupational Safety and Health Review Commission","Agency Overall","2017","183764.71","0.00","183764.71","537.30","0.2900"
"United States Access Board","Agency Overall","2017","6161.00","0.00","6161.00","0.00","0.0000"
"Federal Election Commission","Agency Overall","2017","272205.51","113460.20","385665.71","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2017","57461.00","0.00","57461.00","15.00","0.0300"
"Department of Commerce","Agency Overall","2017","6141790.00","207618.43","6349408.43","66889.44","1.0900"
"United States International Boundary and Water Commission","Agency Overall","2017","90000.00","0.00","90000.00","1334.36","1.4800"
"Department of Justice","Agency Overall","2017","82563479.75","13634557.47","96198037.22","45857.31","0.0600"
"National Indian Gaming Commission","Agency Overall","2017","116197.62","0.00","116197.62","1442.00","1.2400"
"Office of the United States Trade Representative","Agency Overall","2017","254000.00","4000.00","258000.00","501.05","0.2000"
"National Council on Disability","Agency Overall","2017","8900.00","0.00","8900.00","0.00","0.0000"
"Presidio Trust","Agency Overall","2017","992.00","0.00","992.00","227.10","22.8900"
"Department of Homeland Security","Agency Overall","2017","53298043.08","3371007.54","56669050.62","13502.07","0.0300"
"Federal Housing Finance Agency","Agency Overall","2017","231772.46","0.00","231772.46","7251.00","3.1300"
"Consumer Product Safety Commission","Agency Overall","2017","1050594.00","17500.00","1068094.00","521.00","0.0500"
"Denali Commission","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"Federal Maritime Commission","Agency Overall","2017","348993.00","0.00","348993.00","0.00","0.0000"
"National Railroad Passenger Corporation","Agency Overall","2017","135000.00","0.00","135000.00","289.00","0.2100"
"Social Security Advisory Board","Agency Overall","2017","100.00","0.00","100.00","0.00","0.0000"
"Marine Mammal Commission","Agency Overall","2017","1000.00","0.00","1000.00","0.00","0.0000"
"Department of Energy","Agency Overall","2017","8322457.13","276400.00","8598857.13","10850.71","0.1300"
"Farm Credit Administration","Agency Overall","2017","34000.00","0.00","34000.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2017","10000.00","0.00","10000.00","153.12","1.5300"
"Office of Science and Technology Policy","Agency Overall","2017","82173.99","0.00","82173.99","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2017","388816.00","0.00","388816.00","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","23561.00","0.00","23561.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2017","491228.38","12760.00","503988.38","245.00","0.0500"
"Peace Corps","Agency Overall","2017","158711.00","0.00","158711.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2017","21551.00","0.00","21551.00","0.00","0.0000"
"All agencies","Agency Overall","2017","480309048.09","40672512.48","520981560.57","2998359.68","N/A"
