"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Office of Special Counsel","Agency Overall","2017","2","3.20","5.20"
"United States Copyright Office","Agency Overall","2017","0","0.20","0.20"
"National Labor Relations Board","Agency Overall","2017","17","6.00","23.00"
"Department of Health and Human Services","Agency Overall","2017","218","101.29","319.29"
"United States Institute of Peace","Agency Overall","2017","0","0.05","0.05"
"Department of Housing and Urban Development","Agency Overall","2017","39","31.00","70.00"
"James Madison Memorial Fellowship Foundation","Agency Overall","2017","0","0.05","0.05"
"Commodity Futures Trading Commission","Agency Overall","2017","1","1.00","2.00"
"Harry S. Truman Scholarship Foundation","Agency Overall","2017","0","0.05","0.05"
"Overseas Private Investment Corporation","Agency Overall","2017","0","1.45","1.45"
"United States International Trade Commission","Agency Overall","2017","0","3.00","3.00"
"National Endowment for the Humanities","Agency Overall","2017","0","1.25","1.25"
"U.S. Interagency Council on Homelessness","Agency Overall","2017","0","0.05","0.05"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2017","0","0.70","0.70"
"Merit Systems Protection Board","Agency Overall","2017","1","1.12","2.12"
"Department of Defense","Agency Overall","2017","450","261.52","711.52"
"Federal Energy Regulatory Commission","Agency Overall","2017","1","1.90","2.90"
"Department of Agriculture","Agency Overall","2017","89","93.06","182.06"
"Social Security Administration","Agency Overall","2017","8","13.00","21.00"
"Federal Reserve System","Agency Overall","2017","5","10.00","15.00"
"Commission of Fine Arts","Agency Overall","2017","0","0.07","0.07"
"Export-Import Bank of the U.S.","Agency Overall","2017","5","0.65","5.65"
"Council on Environmental Quality","Agency Overall","2017","0","0.75","0.75"
"American Battle Monuments Commission","Agency Overall","2017","0","0.20","0.20"
"Surface Transportation Board","Agency Overall","2017","0","0.30","0.30"
"Department of Veterans Affairs","Agency Overall","2017","318","133.00","451.00"
"Federal Financial Institutions Examination Council","Agency Overall","2017","0","0.10","0.10"
"Office of the Director of National Intelligence","Agency Overall","2017","11","0.00","11.00"
"Court Services and Offender Supervision Agency","Agency Overall","2017","2","0.00","2.00"
"Occupational Safety and Health Review Commission","Agency Overall","2017","0","1.39","1.39"
"United States Access Board","Agency Overall","2017","0","0.50","0.50"
"Federal Election Commission","Agency Overall","2017","0","2.19","2.19"
"U.S. Railroad Retirement Board","Agency Overall","2017","0","3.00","3.00"
"Department of Commerce","Agency Overall","2017","20","41.29","61.29"
"United States International Boundary and Water Commission","Agency Overall","2017","0","0.75","0.75"
"Department of Justice","Agency Overall","2017","418","74.02","492.02"
"National Indian Gaming Commission","Agency Overall","2017","1","0.69","1.69"
"Office of the United States Trade Representative","Agency Overall","2017","0","1.70","1.70"
"National Council on Disability","Agency Overall","2017","0","0.10","0.10"
"Presidio Trust","Agency Overall","2017","0","1.00","1.00"
"Department of Homeland Security","Agency Overall","2017","385","167.19","552.19"
"Federal Housing Finance Agency","Agency Overall","2017","0","1.95","1.95"
"Consumer Product Safety Commission","Agency Overall","2017","8","4.00","12.00"
"Denali Commission","Agency Overall","2017","0","0.05","0.05"
"Federal Maritime Commission","Agency Overall","2017","1","0.54","1.54"
"National Railroad Passenger Corporation","Agency Overall","2017","2","0.00","2.00"
"Social Security Advisory Board","Agency Overall","2017","0","0.05","0.05"
"Marine Mammal Commission","Agency Overall","2017","0","0.10","0.10"
"Department of Energy","Agency Overall","2017","42","36.18","78.18"
"Farm Credit Administration","Agency Overall","2017","0","2.00","2.00"
"Postal Regulatory Commission","Agency Overall","2017","0","1.00","1.00"
"Office of Science and Technology Policy","Agency Overall","2017","0","0.60","0.60"
"Office of Government Ethics","Agency Overall","2017","0","2.75","2.75"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2017","0","0.75","0.75"
"National Transportation Safety Board","Agency Overall","2017","3","2.00","5.00"
"Peace Corps","Agency Overall","2017","1","1.60","2.60"
"Federal Labor Relations Authority","Agency Overall","2017","0","0.31","0.31"
"All agencies","Agency Overall","2017","2856","1650.38","4506.38"
