"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Securities and Exchange Commission","Agency Overall","2017","34","6.97","40.97"
"Institute of Museum and Library Services","Agency Overall","2017","0","0.25","0.25"
"Office of National Drug Control Policy","Agency Overall","2017","0","0.40","0.40"
"Federal Mediation and Conciliation Service","Agency Overall","2017","1","0.00","1.00"
"Central Intelligence Agency","Agency Overall","2017","49","29.00","78.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2017","0","1.00","1.00"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2017","0","0.25","0.25"
"National Aeronautics and Space Administration","Agency Overall","2017","8","2.35","10.35"
"Legal Services Corporation","Agency Overall","2017","0","0.60","0.60"
"Selective Service System","Agency Overall","2017","0","0.15","0.15"
"U.S. Commission on Civil Rights","Agency Overall","2017","0","0.34","0.34"
"National Capital Planning Commission","Agency Overall","2017","0","0.16","0.16"
"General Services Administration","Agency Overall","2017","11","1.18","12.18"
"Inter-American Foundation","Agency Overall","2017","0","0.10","0.10"
"National Science Foundation","Agency Overall","2017","1","1.37","2.37"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","0.20","0.20"
"Department of Education","Agency Overall","2017","22","41.70","63.70"
"Millennium Challenge Corporation","Agency Overall","2017","0","1.00","1.00"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","0","0.25","0.25"
"U.S. Department of State","Agency Overall","2017","207","60.15","267.15"
"Department of the Treasury","Agency Overall","2017","58","77.34","135.34"
"Consumer Financial Protection Bureau","Agency Overall","2017","4","1.00","5.00"
"Federal Mine Safety and Health Review Commission","Agency Overall","2017","0","1.00","1.00"
"Office of Management and Budget","Agency Overall","2017","1","2.05","3.05"
"Department of Labor","Agency Overall","2017","36","135.12","171.12"
"Pension Benefit Guaranty Corporation","Agency Overall","2017","10","0.08","10.08"
"National Mediation Board","Agency Overall","2017","0","1.00","1.00"
"Federal Open Market Committee","Agency Overall","2017","0","0.75","0.75"
"Federal Deposit Insurance Corporation","Agency Overall","2017","7","5.00","12.00"
"National Archives and Records Administration","Agency Overall","2017","47","18.00","65.00"
"Farm Credit System Insurance Corporation","Agency Overall","2017","0","0.00","0.00"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2017","0","0.90","0.90"
"Federal Trade Commission","Agency Overall","2017","6","4.25","10.25"
"Office of Personnel Management","Agency Overall","2017","6","13.74","19.74"
"National Endowment for the Arts","Agency Overall","2017","0","1.50","1.50"
"United States Postal Service","Agency Overall","2017","18","29.00","47.00"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2017","0","0.05","0.05"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2017","0","0.05","0.05"
"United States African Development Foundation","Agency Overall","2017","0","0.06","0.06"
"U.S. Agency for International Development","Agency Overall","2017","19","8.90","27.90"
"National Credit Union Administration","Agency Overall","2017","0","1.89","1.89"
"Federal Retirement Thrift Investment Board","Agency Overall","2017","1","0.00","1.00"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2017","0","0.02","0.02"
"Small Business Administration","Agency Overall","2017","3","0.00","3.00"
"Neighborhood Reinvestment Corporation","Agency Overall","2017","1","0.05","1.05"
"Equal Employment Opportunity Commission","Agency Overall","2017","30","8.71","38.71"
"Department of Transportation","Agency Overall","2017","43","77.46","120.46"
"United States Trade and Development Agency","Agency Overall","2017","0","0.25","0.25"
"Federal Communications Commission","Agency Overall","2017","4","9.14","13.14"
"Tennessee Valley Authority","Agency Overall","2017","1","0.50","1.50"
"U.S. Agency for Global Media","Agency Overall","2017","0","0.75","0.75"
"Environmental Protection Agency","Agency Overall","2017","106","10.93","116.93"
"Nuclear Regulatory Commission","Agency Overall","2017","11","4.00","15.00"
"Administrative Conference of the United States","Agency Overall","2017","0","0.10","0.10"
"Department of the Interior","Agency Overall","2017","63","75.51","138.51"
"U.S. Election Assistance Commission","Agency Overall","2017","0","0.10","0.10"
"Armed Forces Retirement Home","Agency Overall","2017","0","0.50","0.50"
"Appraisal Subcommittee","Agency Overall","2017","0","0.50","0.50"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2017","0","0.10","0.10"
