"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Department of Health and Human Services","Agency Overall","2011","45748344.22","239775.00","45988119.22","1152404.73","2.5200"
"U.S. Agency for Global Media","Agency Overall","2011","2698.87","0.00","2698.87","476.85","17.6700"
"United States Postal Service","Agency Overall","2011","3174670.00","0.00","3174670.00","35705.20","1.1200"
"Department of the Treasury","Agency Overall","2011","17106586.06","428357.51","17534943.57","598890.61","3.5000"
"Tennessee Valley Authority","Agency Overall","2011","193911.00","0.00","193911.00","2151.85","1.1100"
"Office of the United States Trade Representative","Agency Overall","2011","256800.00","900.00","257700.00","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2011","43000.00","35084.75","78084.75","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","16000.00","0.00","16000.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2011","2639400.17","185769.98","2825170.15","18189.60","0.6900"
"Federal Maritime Commission","Agency Overall","2011","128510.00","0.00","128510.00","306.75","0.2400"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","1223385.00","10000.00","1233385.00","13274.03","1.0900"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","5979.00","0.00","5979.00","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2011","57461.00","10000.00","67461.00","218.00","0.3800"
"Selective Service System","Agency Overall","2011","2325.00","0.00","2325.00","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2011","270014.00","0.00","270014.00","6944.00","2.5700"
"U.S. Department of State","Agency Overall","2011","15653418.00","777588.00","16431006.00","19470.96","0.1200"
"Central Intelligence Agency","Agency Overall","2011","10500000.00","1890000.00","12390000.00","519.50","0.0000"
"Federal Communications Commission","Agency Overall","2011","2212990.11","87400.41","2300390.52","16620.39","0.7500"
"National Transportation Safety Board","Agency Overall","2011","1494943.56","0.00","1494943.56","2620.03","0.1800"
"United States Trade and Development Agency","Agency Overall","2011","18000.00","0.00","18000.00","0.00","0.0000"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","2865.59","0.00","2865.59","0.00","0.0000"
"Department of Transportation","Agency Overall","2011","10328842.00","102089.00","10430931.00","314027.82","3.0400"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0.00","0.00","0.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2011","33361701.24","1956380.20","35318081.44","369371.43","1.1100"
"Office of National Drug Control Policy","Agency Overall","2011","20000.00","0.00","20000.00","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","4500.25","0.00","4500.25","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2011","79000.00","16000.00","95000.00","0.00","0.0000"
"United States International Trade Commission","Agency Overall","2011","10915.08","0.00","10915.08","1567.00","14.3600"
"Equal Employment Opportunity Commission","Agency Overall","2011","2541508.69","1110.00","2542618.69","48093.77","1.8900"
"Federal Housing Finance Agency","Agency Overall","2011","543827.00","0.00","543827.00","33850.00","6.2200"
"National Aeronautics and Space Administration","Agency Overall","2011","2287002.88","0.00","2287002.88","8861.55","0.0039"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","33898.00","0.00","33898.00","0.00","0.0000"
"Overseas Private Investment Corporation","Agency Overall","2011","98586.00","0.00","98586.00","1303.88","1.3200"
"Federal Financial Institutions Examination Council","Agency Overall","2011","7600.00","0.00","7600.00","0.00","0.0000"
"Department of Education","Agency Overall","2011","2177652.74","271492.00","2449144.74","3840.86","0.1800"
"Department of Veterans Affairs","Agency Overall","2011","16332657.90","189869.00","16522526.90","102100.31","0.6300"
"National Railroad Passenger Corporation","Agency Overall","2011","80000.00","0.00","80000.00","1188.95","1.4900"
"Institute of Museum and Library Services","Agency Overall","2011","16307.55","0.00","16307.55","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2011","37776.00","0.00","37776.00","574.52","1.5200"
"Occupational Safety and Health Review Commission","Agency Overall","2011","221917.75","0.00","221917.75","1449.36","0.6500"
"Securities and Exchange Commission","Agency Overall","2011","5146627.90","205500.00","5352127.90","78005.94","1.5200"
"Department of Justice","Agency Overall","2011","55303212.90","9494586.85","64797799.75","123861.73","0.2200"
"U.S. Commission on Civil Rights","Agency Overall","2011","20000.00","0.00","20000.00","0.00","0.0000"
"Armed Forces Retirement Home","Agency Overall","2011","0.00","0.00","0.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","4928.13","0.00","4928.13","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2011","215000.00","52000.00","267000.00","0.00","0.0000"
