"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"U.S. Agency for International Development","Agency Overall","2011","1192789.43","25000.00","1217789.43","1004.58","0.0800"
"Federal Energy Regulatory Commission","Agency Overall","2011","751955.00","0.00","751955.00","328.45","0.0400"
"Court Services and Offender Supervision Agency","Agency Overall","2011","248171.25","0.00","248171.25","37425.25","15.0800"
"National Capital Planning Commission","Agency Overall","2011","539.00","0.00","539.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2011","69750.00","0.00","69750.00","134.00","0.1900"
"Office of Special Counsel","Agency Overall","2011","195000.00","9700.00","204700.00","28.75","0.0100"
"Merit Systems Protection Board","Agency Overall","2011","316210.00","0.00","316210.00","297.00","0.0900"
"National Endowment for the Arts","Agency Overall","2011","55000.00","0.00","55000.00","70.26","0.1300"
"Federal Mediation and Conciliation Service","Agency Overall","2011","65000.00","0.00","65000.00","56.00","0.0900"
"Millennium Challenge Corporation","Agency Overall","2011","10000.00","0.00","10000.00","0.00","0.0000"
"Department of Defense","Agency Overall","2011","89602701.00","4118975.00","93721676.00","585461.00","0.6500"
"Inter-American Foundation","Agency Overall","2011","6500.00","0.00","6500.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2011","33014.00","0.00","33014.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2011","2500.00","0.00","2500.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2011","132198.00","0.00","132198.00","1339.40","1.0100"
"Federal Labor Relations Authority","Agency Overall","2011","28374.00","0.00","28374.00","75.56","0.2700"
"National Archives and Records Administration","Agency Overall","2011","3162915.00","0.00","3162915.00","607.00","0.0200"
"Department of Energy","Agency Overall","2011","6948129.03","200504.00","7148633.03","10464.88","0.1500"
"Office of Personnel Management","Agency Overall","2011","2167331.00","31600.00","2198931.00","7413.00","0.3400"
"Department of Commerce","Agency Overall","2011","3685519.44","189785.65","3875305.09","49576.95","1.3500"
"Department of Agriculture","Agency Overall","2011","12920285.93","718612.85","13638898.78","87358.08","0.6800"
"Federal Reserve System","Agency Overall","2011","1488000.00","200000.00","1688000.00","5349.00","0.3600"
"Office of Government Ethics","Agency Overall","2011","151160.98","0.00","151160.98","0.00","0.0000"
"Small Business Administration","Agency Overall","2011","1618718.00","2200.00","1620918.00","15000.00","0.9300"
"General Services Administration","Agency Overall","2011","2400000.00","0.00","2400000.00","56783.00","2.3700"
"National Mediation Board","Agency Overall","2011","34549.00","0.00","34549.00","588.58","1.7000"
"Federal Election Commission","Agency Overall","2011","158328.48","21101.25","179429.73","0.00","0.0000"
"Peace Corps","Agency Overall","2011","73313.00","0.00","73313.00","0.00","0.0000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","4350.00","0.00","4350.00","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2011","174242.00","532.60","174774.60","1234.90","0.7100"
"Administrative Conference of the United States","Agency Overall","2011","13142.00","0.00","13142.00","0.00","0.0000"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","110000.00","0.00","110000.00","537.90","0.4900"
"Commodity Futures Trading Commission","Agency Overall","2011","148270.76","0.00","148270.76","3195.40","2.1600"
"National Labor Relations Board","Agency Overall","2011","795010.26","26736.24","821746.50","76073.43","9.5700"
"Federal Deposit Insurance Corporation","Agency Overall","2011","2358459.00","22152.00","2380611.00","17629.68","0.7500"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","46372.00","0.00","46372.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2011","200000.00","0.00","200000.00","138.60","0.0700"
"Federal Trade Commission","Agency Overall","2011","369626.11","0.00","369626.11","30418.88","8.2300"
"United States African Development Foundation","Agency Overall","2011","0.00","0.00","0.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2011","1738305.00","0.00","1738305.00","9485.00","0.5500"
"Postal Regulatory Commission","Agency Overall","2011","2000.00","0.00","2000.00","0.00","0.0000"
"Recovery Accountability and Transparency Board","Agency Overall","2011","5594.60","0.00","5594.60","0.00","0.0000"
"Office of the Director of National Intelligence","Agency Overall","2011","275000.00","37844.00","312844.00","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","104000.00","0.00","104000.00","0.00","0.0000"
"Environmental Protection Agency","Agency Overall","2011","17352297.59","457450.00","17809747.59","329810.76","1.9000"
"Social Security Administration","Agency Overall","2011","3982633.00","38507.00","4021140.00","1482213.00","37.2200"
"Department of Labor","Agency Overall","2011","13074203.58","497973.00","13572176.58","289284.10","2.2100"
"Federal Open Market Committee","Agency Overall","2011","117139.50","0.00","117139.50","0.00","0.0000"
"Department of the Interior","Agency Overall","2011","12201691.90","771470.74","12973162.64","108966.17","0.8900"
"National Science Foundation","Agency Overall","2011","371000.00","0.00","371000.00","5555.65","1.5000"
"United States Copyright Office","Agency Overall","2011","139940.00","0.00","139940.00","1565.00","1.1200"
"Consumer Product Safety Commission","Agency Overall","2011","1684600.00","35000.00","1719600.00","21653.00","1.2900"
"United States International Boundary and Water Commission","Agency Overall","2011","40250.00","0.00","40250.00","0.00","0.0000"
"All agencies","Agency Overall","2011","412450842.43","23359047.03","435809889.46","6193011.83","N/A"
