"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Environmental Protection Agency","Agency Overall","2011","51","76.91","127.91"
"Social Security Administration","Agency Overall","2011","23","60.00","83.00"
"Department of Labor","Agency Overall","2011","39","112.94","151.94"
"Federal Open Market Committee","Agency Overall","2011","0","0.93","0.93"
"Department of the Interior","Agency Overall","2011","47","102.63","149.63"
"National Science Foundation","Agency Overall","2011","0","3.87","3.87"
"United States Copyright Office","Agency Overall","2011","0","0.89","0.89"
"Consumer Product Safety Commission","Agency Overall","2011","10","4.00","14.00"
"United States International Boundary and Water Commission","Agency Overall","2011","0","0.50","0.50"
"All agencies","Agency Overall","2011","2175","2221.25","4396.25"
