"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Department of Health and Human Services","Agency Overall","2011","76","200","1","1892"
"U.S. Agency for Global Media","Agency Overall","2011","18","17","5","28"
"United States Postal Service","Agency Overall","2011","18","20.38","2","105"
"Department of the Treasury","Agency Overall","2011","25","25.27","2","340"
"Tennessee Valley Authority","Agency Overall","2011","20","20","20","20"
"Office of the United States Trade Representative","Agency Overall","2011","32","32","17","47"
"Council on Environmental Quality","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2011","N/A","69","1","256"
"Federal Maritime Commission","Agency Overall","2011","31","31","31","31"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","22","64","10","200"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2011","17","18.2","1","20"
"Selective Service System","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2011","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2011","309","482","<1","1633"
"Central Intelligence Agency","Agency Overall","2011","158","186","N/A","2362"
"Federal Communications Commission","Agency Overall","2011","328","307","17","509"
"National Transportation Safety Board","Agency Overall","2011","15.5","46.4","<1","288"
"United States Trade and Development Agency","Agency Overall","2011","20.5","20.5","19","22"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","N/A","N/A","17","17"
"Department of Transportation","Agency Overall","2011","95","189","<1","1131"
"Farm Credit System Insurance Corporation","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2011","44","106.4","1","1527"
"Office of National Drug Control Policy","Agency Overall","2011","6","6","6","6"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","6","7.5","1","20"
"United States International Trade Commission","Agency Overall","2011","22","22","22","22"
"Equal Employment Opportunity Commission","Agency Overall","2011","16","18.4","1","37"
"Federal Housing Finance Agency","Agency Overall","2011","19.5","19.17","16","22"
