"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"National Aeronautics and Space Administration","Agency Overall","2011","47","74.48","8","303"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2011","10.5","10.5","3","18"
"Federal Financial Institutions Examination Council","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2011","295","255","22","419"
"Department of Veterans Affairs","Agency Overall","2011","131","165.57","4","849"
"National Railroad Passenger Corporation","Agency Overall","2011","36","100","7","488"
"Institute of Museum and Library Services","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2011","7","22","<1","170"
"Department of Justice","Agency Overall","2011","70","81.72","<1","470"
"U.S. Commission on Civil Rights","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2011","25","25","25","25"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2011","74","90","34","223"
"U.S. Agency for International Development","Agency Overall","2011","714","504.33","75","724"
"Federal Energy Regulatory Commission","Agency Overall","2011","30","32","2","52"
"Court Services and Offender Supervision Agency","Agency Overall","2011","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2011","24","24","24","24"
"Legal Services Corporation","Agency Overall","2011","16","16","12","20"
"Office of Special Counsel","Agency Overall","2011","19","31","1","94"
"Merit Systems Protection Board","Agency Overall","2011","21","18","15","27"
"National Endowment for the Arts","Agency Overall","2011","15","17","2","36"
"Federal Mediation and Conciliation Service","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2011","18","18","18","18"
"Department of Defense","Agency Overall","2011","N/A","119","<1","3338"
"Inter-American Foundation","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2011","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2011","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2011","18.5","19.7","13","40"
"Federal Labor Relations Authority","Agency Overall","2011","15","13","3","53"
"National Archives and Records Administration","Agency Overall","2011","18","28","3","332"
"Department of Energy","Agency Overall","2011","18","29","1","745"
"Office of Personnel Management","Agency Overall","2011","99","148","N/A","N/A"
"Department of Commerce","Agency Overall","2011","151","338","1","2091"
"Department of Agriculture","Agency Overall","2011","23.5","126.5825","1","1796"
"Federal Reserve System","Agency Overall","2011","16","16","11","24"
"Office of Government Ethics","Agency Overall","2011","25","28.67","10","51"
"Small Business Administration","Agency Overall","2011","13","16.1","1","51"
"General Services Administration","Agency Overall","2011","24","30","1","49"
"National Mediation Board","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2011","79","246","78","581"
"Peace Corps","Agency Overall","2011","16","23","8","158"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2011","28","28","28","28"
"Administrative Conference of the United States","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2011","90","84.67","48","116"
"National Labor Relations Board","Agency Overall","2011","13","13","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2011","20","20.43","12","58"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","20","20","20","20"
"National Endowment for the Humanities","Agency Overall","2011","47","47","47","47"
"Federal Trade Commission","Agency Overall","2011","21.9","19.24","10","41"
"United States African Development Foundation","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2011","22","25","3","68"
"Postal Regulatory Commission","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2011","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2011","7","21","7","35"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","3","3","3","3"
"Environmental Protection Agency","Agency Overall","2011","31.5","115.24","<1","2011"
"Social Security Administration","Agency Overall","2011","49","57","3","187"
"Department of Labor","Agency Overall","2011","30","99.54","3","2058"
"Federal Open Market Committee","Agency Overall","2011","21","21","21","21"
"Department of the Interior","Agency Overall","2011","257","727","5","1684"
"National Science Foundation","Agency Overall","2011","20","21","6","48"
"United States Copyright Office","Agency Overall","2011","20","20","20","20"
"Consumer Product Safety Commission","Agency Overall","2011","19","19","19","20"
"United States International Boundary and Water Commission","Agency Overall","2011","20.5","20.5","10","31"
