"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0.10","0.10"
"Surface Transportation Board","Agency Overall","2019","0","0.35","0.35"
"Commodity Futures Trading Commission","Agency Overall","2019","2","1.00","3.00"
"Social Security Advisory Board","Agency Overall","2019","0","0.05","0.05"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","1","0.00","1.00"
"Office of Management and Budget","Agency Overall","2019","4","3.50","7.50"
"Environmental Protection Agency","Agency Overall","2019","94","137.00","231.00"
"Federal Housing Finance Agency","Agency Overall","2019","0","2.45","2.45"
"Consumer Product Safety Commission","Agency Overall","2019","5","1.00","6.00"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0.02","0.02"
"Office of National Drug Control Policy","Agency Overall","2019","0","0.70","0.70"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0.00","0.00"
"National Endowment for the Arts","Agency Overall","2019","0","1.50","1.50"
"National Mediation Board","Agency Overall","2019","0","1.00","1.00"
"U.S. Agency for International Development","Agency Overall","2019","17","8.90","25.90"
"U.S. Election Assistance Commission","Agency Overall","2019","1","0.00","1.00"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","1.67","1.67"
"United States International Trade Commission","Agency Overall","2019","0","4.00","4.00"
"Social Security Administration","Agency Overall","2019","3","32.00","35.00"
"Department of Labor","Agency Overall","2019","50","129.05","179.05"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","1.00","1.00"
"Department of Defense","Agency Overall","2019","514","505.13","1019.13"
"Department of Justice","Agency Overall","2019","414","64.53","478.53"
"Office of the Director of National Intelligence","Agency Overall","2019","11","1.00","12.00"
"Court Services and Offender Supervision Agency","Agency Overall","2019","2","0.00","2.00"
"Department of the Treasury","Agency Overall","2019","47","81.81","128.81"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","2.00","2.00"
"United States Postal Service","Agency Overall","2019","19","29.00","48.00"
"Department of the Interior","Agency Overall","2019","89","64.19","153.19"
"American Battle Monuments Commission","Agency Overall","2019","0","0.10","0.10"
"National Aeronautics and Space Administration","Agency Overall","2019","7","4.75","11.75"
"Office of Special Counsel","Agency Overall","2019","5","8.00","13.00"
"Federal Maritime Commission","Agency Overall","2019","1","0.43","1.43"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","0","0.50","0.50"
"Department of Agriculture","Agency Overall","2019","89","157.15","246.15"
"Farm Credit Administration","Agency Overall","2019","0","2.00","2.00"
"U.S. Department of State","Agency Overall","2019","141","66.68","207.68"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","10","1.52","11.52"
"Council on Environmental Quality","Agency Overall","2019","0","1.50","1.50"
"Peace Corps","Agency Overall","2019","0","3.10","3.10"
"General Services Administration","Agency Overall","2019","13","27.56","40.56"
"Merit Systems Protection Board","Agency Overall","2019","1","0.85","1.85"
"Federal Communications Commission","Agency Overall","2019","6","9.96","15.96"
"Tennessee Valley Authority","Agency Overall","2019","1","0.25","1.25"
"Nuclear Regulatory Commission","Agency Overall","2019","8","0.00","8.00"
"Federal Energy Regulatory Commission","Agency Overall","2019","1","2.32","3.32"
"National Archives and Records Administration","Agency Overall","2019","0","55.90","55.90"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","2","0.00","2.00"
"Department of Education","Agency Overall","2019","16","37.64","53.64"
"Department of Energy","Agency Overall","2019","45","29.11","74.11"
"National Commission on Military, National, and Public Service","Agency Overall","2019","0","0.50","0.50"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","1.00","1.00"
"United States Access Board","Agency Overall","2019","0","1.20","1.20"
"United States Trade and Development Agency","Agency Overall","2019","0","0.10","0.10"
"Federal Open Market Committee","Agency Overall","2019","0","0.58","0.58"
"Department of Homeland Security","Agency Overall","2019","446","161.64","607.64"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","2.00","2.00"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","0.50","0.50"
"Department of Commerce","Agency Overall","2019","32","33.44","65.44"
"Inter-American Foundation","Agency Overall","2019","0","0.20","0.20"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0.10","0.10"
"Presidio Trust","Agency Overall","2019","0","0.05","0.05"
"National Endowment for the Humanities","Agency Overall","2019","0","1.25","1.25"
"Consumer Financial Protection Bureau","Agency Overall","2019","9","0.50","9.50"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","0.60","0.60"
"Federal Reserve System","Agency Overall","2019","4","11.00","15.00"
"Securities and Exchange Commission","Agency Overall","2019","32","10.00","42.00"
"Appraisal Subcommittee","Agency Overall","2019","0","0.05","0.05"
"Office of the United States Trade Representative","Agency Overall","2019","0","1.70","1.70"
"United States International Boundary and Water Commission","Agency Overall","2019","0","1.00","1.00"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0.25","0.25"
"Federal Trade Commission","Agency Overall","2019","9","2.70","11.70"
"National Science Foundation","Agency Overall","2019","1","1.50","2.50"
"Overseas Private Investment Corporation","Agency Overall","2019","1","0.75","1.75"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","1.00","1.00"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","1.00","1.00"
"United States African Development Foundation","Agency Overall","2019","0","0.06","0.06"
