"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","112000.00","0.00","112000.00","185.90","0.1700"
"United States International Boundary and Water Commission","Agency Overall","2012","40250.00","0.00","40250.00","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2012","1186256.00","1600.00","1187856.00","5533.00","0.4700"
"Export-Import Bank of the U.S.","Agency Overall","2012","173812.00","0.00","173812.00","960.00","0.5500"
"Department of Energy","Agency Overall","2012","8550902.62","237572.12","8788474.74","21105.00","0.2500"
"United States International Trade Commission","Agency Overall","2012","6426.49","0.00","6426.49","30.70","0.4800"
"Office of Management and Budget","Agency Overall","2012","215000.00","52000.00","267000.00","500.00","0.2300"
"U.S. Commission on Civil Rights","Agency Overall","2012","20000.00","0.00","20000.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2012","281920.00","0.00","281920.00","795.50","0.2800"
"Overseas Private Investment Corporation","Agency Overall","2012","98586.00","0.00","98586.00","1938.85","1.9700"
"Federal Reserve System","Agency Overall","2012","1668248.00","97344.00","1765592.00","10307.00","0.6200"
"Peace Corps","Agency Overall","2012","76697.00","0.00","76697.00","0.00","0.0000"
"Federal Mediation and Conciliation Service","Agency Overall","2012","65000.00","0.00","65000.00","75.00","0.1200"
"Millennium Challenge Corporation","Agency Overall","2012","15000.00","0.00","15000.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2012","28929.56","0.00","28929.56","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2012","57461.00","10000.00","67461.00","79.55","0.1400"
"Occupational Safety and Health Review Commission","Agency Overall","2012","238780.22","0.00","238780.22","2623.41","1.1000"
"U.S. Agency for International Development","Agency Overall","2012","1192789.43","0.00","1192789.43","8477.93","0.7100"
"National Aeronautics and Space Administration","Agency Overall","2012","1788743.23","0.00","1788743.23","14193.85","0.0079"
"Federal Open Market Committee","Agency Overall","2012","128825.00","0.00","128825.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2012","16467583.00","964757.00","17432340.00","11556.92","0.0700"
"Surface Transportation Board","Agency Overall","2012","26920.00","0.00","26920.00","141.57","0.5300"
"National Credit Union Administration","Agency Overall","2012","144582.00","0.00","144582.00","544.40","0.3800"
"Office of National Drug Control Policy","Agency Overall","2012","22322.00","0.00","22322.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2012","2541508.69","320.00","2541828.69","60514.00","2.3800"
"National Transportation Safety Board","Agency Overall","2012","386060.70","0.00","386060.70","6950.70","1.8000"
"Office of Science and Technology Policy","Agency Overall","2012","105000.00","14000.00","119000.00","0.00","0.0000"
"Federal Financial Institutions Examination Council","Agency Overall","2012","7840.00","0.00","7840.00","0.00","0.0000"
"Federal Election Commission","Agency Overall","2012","148861.82","55883.59","204745.41","0.00","0.0000"
"Federal Energy Regulatory Commission","Agency Overall","2012","635637.00","0.00","635637.00","215.00","0.0300"
"Council on Environmental Quality","Agency Overall","2012","43000.00","0.00","43000.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2012","4237.00","0.00","4237.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2012","16833.60","0.00","16833.60","0.00","0.0000"
"Department of Transportation","Agency Overall","2012","11404027.00","200365.00","11604392.00","268833.45","2.3600"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","5000.00","0.00","5000.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2012","196002.00","5100.00","201102.00","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2012","33014.00","0.00","33014.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2012","48504.00","0.00","48504.00","772.96","1.5900"
"Nuclear Regulatory Commission","Agency Overall","2012","2596152.00","0.00","2596152.00","23752.00","0.9100"
"Department of Justice","Agency Overall","2012","57896288.63","9804330.02","67700618.65","82593.99","0.1400"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","70000.00","0.00","70000.00","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2012","165071.88","0.00","165071.88","0.00","0.0000"
"Social Security Administration","Agency Overall","2012","4368669.00","84080.00","4452749.00","609948.11","13.9600"
"Department of Agriculture","Agency Overall","2012","11153996.88","721936.86","11875933.74","44987.08","0.4000"
"Federal Maritime Commission","Agency Overall","2012","43272.00","0.00","43272.00","66.35","0.1500"
"U.S. Agency for Global Media","Agency Overall","2012","1033.95","0.00","1033.95","610.70","59.0600"
"United States African Development Foundation","Agency Overall","2012","5961.00","0.00","5961.00","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2012","18293547.02","96524.11","18390071.13","48014.88","0.2600"
"Postal Regulatory Commission","Agency Overall","2012","2000.00","0.00","2000.00","0.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0.00","0.00","0.00","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2012","151000.00","0.00","151000.00","574.00","0.3800"
"United States Copyright Office","Agency Overall","2012","126237.00","0.00","126237.00","893.00","0.7100"
"American Battle Monuments Commission","Agency Overall","2012","1750.00","0.00","1750.00","0.00","0.0000"
"Department of the Treasury","Agency Overall","2012","14111579.49","352826.72","14464406.21","475968.06","3.3700"
"Department of Homeland Security","Agency Overall","2012","36748128.58","1884873.63","38633002.21","435890.81","1.1900"
"Central Intelligence Agency","Agency Overall","2012","10700000.00","1900000.00","12600000.00","1851.70","0.0200"
"Federal Deposit Insurance Corporation","Agency Overall","2012","2773641.00","0.00","2773641.00","27756.00","1.0000"
"Merit Systems Protection Board","Agency Overall","2012","443110.00","0.00","443110.00","907.00","0.2000"
"Office of Special Counsel","Agency Overall","2012","180700.00","0.00","180700.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2012","3078553.00","0.00","3078553.00","203.23","0.0100"
"Department of Defense","Agency Overall","2012","72894645.00","3396612.00","76291257.00","490415.00","0.6700"
"Office of the Director of National Intelligence","Agency Overall","2012","275000.00","152092.00","427092.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2012","3068027.00","62539.91","3130566.91","37170.62","1.2100"
"Environmental Protection Agency","Agency Overall","2012","17602417.00","416100.00","18018517.00","385722.02","2.1900"
"Tennessee Valley Authority","Agency Overall","2012","278113.00","0.00","278113.00","3554.05","1.2800"
"National Railroad Passenger Corporation","Agency Overall","2012","100000.00","0.00","100000.00","3139.08","3.1400"
"Inter-American Foundation","Agency Overall","2012","6500.00","0.00","6500.00","0.00","0.0000"
"Department of Commerce","Agency Overall","2012","3750560.07","129309.27","3879869.34","42366.93","1.1300"
"National Labor Relations Board","Agency Overall","2012","966901.00","91742.00","1058643.00","41879.00","4.3300"
