"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","84360.00","0.00","84360.00","645.00","0.7600"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","33898.00","0.00","33898.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","27486.46","405.49","27891.95","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2012","242644.25","0.00","242644.25","16640.25","6.8600"
"Department of the Interior","Agency Overall","2012","11077761.12","752543.75","11830304.87","135499.29","1.2200"
"Armed Forces Retirement Home","Agency Overall","2012","157436.00","0.00","157436.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2012","5129895.00","132600.00","5262495.00","27577.68","0.5400"
"National Indian Gaming Commission","Agency Overall","2012","144500.00","0.00","144500.00","333.90","0.2300"
"Federal Housing Finance Agency","Agency Overall","2012","373480.18","0.00","373480.18","5897.54","1.5800"
"Administrative Conference of the United States","Agency Overall","2012","28161.00","0.00","28161.00","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","3595.50","0.00","3595.50","0.00","0.0000"
"Recovery Accountability and Transparency Board","Agency Overall","2012","81000.00","0.00","81000.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2012","218000.00","0.00","218000.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2012","25479.00","0.00","25479.00","1049.37","4.1200"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","1575.00","0.00","1575.00","0.00","0.0000"
"Department of Education","Agency Overall","2012","3065312.62","78106.00","3143418.62","2064.49","0.0700"
"Office of Personnel Management","Agency Overall","2012","2486107.00","11221.00","2497328.00","7099.00","0.2900"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","43200.00","0.00","43200.00","592.00","1.3700"
"National Endowment for the Arts","Agency Overall","2012","56000.00","0.00","56000.00","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","27500.00","0.00","27500.00","0.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","1422444.00","0.00","1422444.00","10831.31","0.7600"
"United States Postal Service","Agency Overall","2012","4571539.00","10000.00","4581539.00","23729.54","0.5200"
"Selective Service System","Agency Overall","2012","2325.00","0.00","2325.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2012","620096.00","15845.00","635941.00","28981.38","4.6700"
"Small Business Administration","Agency Overall","2012","1636800.00","0.00","1636800.00","11500.00","0.7000"
"Federal Communications Commission","Agency Overall","2012","1638109.94","75679.00","1713788.94","14557.67","0.8900"
"General Services Administration","Agency Overall","2012","2400000.00","6500.00","2406500.00","50071.79","2.0900"
"Department of Health and Human Services","Agency Overall","2012","47219436.00","1847314.00","49066750.00","1016530.00","2.1500"
"Department of Labor","Agency Overall","2012","12598645.00","497973.00","13096618.00","260681.38","2.0700"
"United States Trade and Development Agency","Agency Overall","2012","12000.00","0.00","12000.00","0.00","0.0000"
"All agencies","Agency Overall","2012","405464199.93","24160095.47","429624295.40","4788879.89","N/A"
