"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0.50","0.50"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0.50","0.50"
"Consumer Product Safety Commission","Agency Overall","2012","10","4.00","14.00"
"Export-Import Bank of the U.S.","Agency Overall","2012","0","1.25","1.25"
"Department of Energy","Agency Overall","2012","51","40.60","91.60"
"United States International Trade Commission","Agency Overall","2012","0","1.50","1.50"
"Office of Management and Budget","Agency Overall","2012","1","1.50","2.50"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0.25","0.25"
"National Science Foundation","Agency Overall","2012","0","3.23","3.23"
"Overseas Private Investment Corporation","Agency Overall","2012","0","1.20","1.20"
"Federal Reserve System","Agency Overall","2012","9","12.00","21.00"
"Peace Corps","Agency Overall","2012","0","0.85","0.85"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","1.00","1.00"
"Millennium Challenge Corporation","Agency Overall","2012","0","0.15","0.15"
"Federal Labor Relations Authority","Agency Overall","2012","0","1.05","1.05"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","1.00","1.00"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","2.07","2.07"
"U.S. Agency for International Development","Agency Overall","2012","9","4.00","13.00"
"National Aeronautics and Space Administration","Agency Overall","2012","13","6.09","19.09"
"Federal Open Market Committee","Agency Overall","2012","0","1.09","1.09"
"U.S. Department of State","Agency Overall","2012","84","70.69","154.69"
"Surface Transportation Board","Agency Overall","2012","0","0.16","0.16"
"National Credit Union Administration","Agency Overall","2012","0","1.34","1.34"
"Office of National Drug Control Policy","Agency Overall","2012","0","0.47","0.47"
"Equal Employment Opportunity Commission","Agency Overall","2012","31","6.06","37.06"
"National Transportation Safety Board","Agency Overall","2012","2","3.75","5.75"
"Office of Science and Technology Policy","Agency Overall","2012","0","0.70","0.70"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0.04","0.04"
"Federal Election Commission","Agency Overall","2012","0","1.60","1.60"
"Federal Energy Regulatory Commission","Agency Overall","2012","1","3.12","4.12"
"Council on Environmental Quality","Agency Overall","2012","0","0.75","0.75"
"National Capital Planning Commission","Agency Overall","2012","0","0.06","0.06"
"Institute of Museum and Library Services","Agency Overall","2012","0","0.15","0.15"
"Department of Transportation","Agency Overall","2012","37","72.27","109.27"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0.05","0.05"
"Office of the United States Trade Representative","Agency Overall","2012","1","1.30","2.30"
"Farm Credit Administration","Agency Overall","2012","0","1.00","1.00"
"Legal Services Corporation","Agency Overall","2012","0","0.51","0.51"
"Nuclear Regulatory Commission","Agency Overall","2012","10","7.00","17.00"
"Department of Justice","Agency Overall","2012","440","89.18","529.18"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","1.00","1.00"
"Office of Government Ethics","Agency Overall","2012","0","1.50","1.50"
"Social Security Administration","Agency Overall","2012","36","41.00","77.00"
"Department of Agriculture","Agency Overall","2012","71","189.01","260.01"
"Federal Maritime Commission","Agency Overall","2012","0","0.95","0.95"
"U.S. Agency for Global Media","Agency Overall","2012","0","1.20","1.20"
"United States African Development Foundation","Agency Overall","2012","0","0.04","0.04"
"Department of Veterans Affairs","Agency Overall","2012","55","171.77","226.77"
"Postal Regulatory Commission","Agency Overall","2012","0","6.00","6.00"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0.00","0.00"
"Commodity Futures Trading Commission","Agency Overall","2012","1","0.30","1.30"
"United States Copyright Office","Agency Overall","2012","0","0.75","0.75"
"American Battle Monuments Commission","Agency Overall","2012","0","0.02","0.02"
"Department of the Treasury","Agency Overall","2012","41","77.49","118.49"
"Department of Homeland Security","Agency Overall","2012","351","46.61","397.61"
"Central Intelligence Agency","Agency Overall","2012","64","27.75","91.75"
"Federal Deposit Insurance Corporation","Agency Overall","2012","11","6.50","17.50"
"Merit Systems Protection Board","Agency Overall","2012","4","0.50","4.50"
"Office of Special Counsel","Agency Overall","2012","1","0.60","1.60"
"National Archives and Records Administration","Agency Overall","2012","0","36.00","36.00"
"Department of Defense","Agency Overall","2012","379","339.98","718.98"
"Office of the Director of National Intelligence","Agency Overall","2012","1","1.00","2.00"
"Department of Housing and Urban Development","Agency Overall","2012","10","21.20","31.20"
"Environmental Protection Agency","Agency Overall","2012","51","76.91","127.91"
"Tennessee Valley Authority","Agency Overall","2012","1","1.00","2.00"
"National Railroad Passenger Corporation","Agency Overall","2012","2","0.00","2.00"
"Inter-American Foundation","Agency Overall","2012","0","0.05","0.05"
"Department of Commerce","Agency Overall","2012","5","32.95","37.95"
"National Labor Relations Board","Agency Overall","2012","2","5.00","7.00"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","1.00","1.00"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0.65","0.65"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","0.21","0.21"
"Court Services and Offender Supervision Agency","Agency Overall","2012","3","0.00","3.00"
"Department of the Interior","Agency Overall","2012","49","104.11","153.11"
"Armed Forces Retirement Home","Agency Overall","2012","1","1.00","2.00"
"Securities and Exchange Commission","Agency Overall","2012","27","9.82","36.82"
"National Indian Gaming Commission","Agency Overall","2012","1","1.08","2.08"
"Federal Housing Finance Agency","Agency Overall","2012","0","2.85","2.85"
"Administrative Conference of the United States","Agency Overall","2012","0","0.12","0.12"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0.06","0.06"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","0.45","0.45"
"National Endowment for the Humanities","Agency Overall","2012","0","1.75","1.75"
"National Mediation Board","Agency Overall","2012","0","0.40","0.40"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","0.70","0.70"
"Department of Education","Agency Overall","2012","9","30.09","39.09"
"Office of Personnel Management","Agency Overall","2012","26","8.50","34.50"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0","0.25","0.25"
"National Endowment for the Arts","Agency Overall","2012","0","0.60","0.60"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","2.00","2.00"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","9","5.00","14.00"
"United States Postal Service","Agency Overall","2012","22","29.00","51.00"
"Selective Service System","Agency Overall","2012","0","0.15","0.15"
"Federal Trade Commission","Agency Overall","2012","1","10.45","11.45"
"Small Business Administration","Agency Overall","2012","2","12.00","14.00"
"Federal Communications Commission","Agency Overall","2012","4","10.66","14.66"
"General Services Administration","Agency Overall","2012","3","5.00","8.00"
"Department of Health and Human Services","Agency Overall","2012","166","124.90","290.90"
"Department of Labor","Agency Overall","2012","60","101.68","161.68"
"United States Trade and Development Agency","Agency Overall","2012","0","0.10","0.10"
"All agencies","Agency Overall","2012","2168","1895.69","4063.69"
