"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0.50","0.50"
"Presidio Trust","Agency Overall","2022","0","0.10","0.10"
"Export-Import Bank of the U.S.","Agency Overall","2022","5","0.45","5.45"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0.25","0.25"
"U.S. Department of State","Agency Overall","2022","67","59.00","126.00"
"Farm Credit Administration","Agency Overall","2022","0","0.25","0.25"
"U.S. Commission on Civil Rights","Agency Overall","2022","1","0.00","1.00"
"Social Security Administration","Agency Overall","2022","9","20.00","29.00"
"National Indian Gaming Commission","Agency Overall","2022","1","0.00","1.00"
"United States African Development Foundation","Agency Overall","2022","0","0.40","0.40"
"National Credit Union Administration","Agency Overall","2022","0","2.16","2.16"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","0","0.22","0.22"
"U.S. Election Assistance Commission","Agency Overall","2022","1","0.00","1.00"
"Federal Deposit Insurance Corporation","Agency Overall","2022","7","3.00","10.00"
"Office of National Drug Control Policy","Agency Overall","2022","0","0.70","0.70"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0.20","0.20"
"Council on Environmental Quality","Agency Overall","2022","2","1.10","3.10"
"Merit Systems Protection Board","Agency Overall","2022","1","0.66","1.66"
"Office of Special Counsel","Agency Overall","2022","6","5.53","11.53"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","1.00","1.00"
"Peace Corps","Agency Overall","2022","2","2.45","4.45"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","1.25","1.25"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","1","0.00","1.00"
"Federal Trade Commission","Agency Overall","2022","11","2.00","13.00"
"Department of Labor","Agency Overall","2022","59","104.34","163.34"
"Federal Communications Commission","Agency Overall","2022","8","6.46","14.46"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0.10","0.10"
"Nuclear Regulatory Commission","Agency Overall","2022","3","6.00","9.00"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0.05","0.05"
"United States International Trade Commission","Agency Overall","2022","0","4.00","4.00"
"Institute of Museum and Library Services","Agency Overall","2022","0","0.85","0.85"
"National Labor Relations Board","Agency Overall","2022","15","1.22","16.22"
"Denali Commission","Agency Overall","2022","1","0.01","1.01"
"Federal Reserve System","Agency Overall","2022","4","9.00","13.00"
"Inter-American Foundation","Agency Overall","2022","0","0.20","0.20"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0.25","0.25"
"National Transportation Safety Board","Agency Overall","2022","5","6.00","11.00"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0.10","0.10"
"National Archives and Records Administration","Agency Overall","2022","21","21.45","42.45"
"Selective Service System","Agency Overall","2022","0","0.15","0.15"
"United States Copyright Office","Agency Overall","2022","0","0.21","0.21"
"Department of Transportation","Agency Overall","2022","49","56.41","105.41"
"Office of the Director of National Intelligence","Agency Overall","2022","10","2.45","12.45"
"Social Security Advisory Board","Agency Overall","2022","0","0.05","0.05"
"National Capital Planning Commission","Agency Overall","2022","0","0.05","0.05"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","12","0.00","12.00"
"Department of Agriculture","Agency Overall","2022","98","120.07","218.07"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0.10","0.10"
"Department of Housing and Urban Development","Agency Overall","2022","20","65.11","85.11"
"Department of Energy","Agency Overall","2022","41","31.83","72.83"
"Department of Health and Human Services","Agency Overall","2022","284","79.70","363.70"
"Office of Personnel Management","Agency Overall","2022","4","5.34","9.34"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","0.50","0.50"
"National Council on Disability","Agency Overall","2022","0","0.12","0.12"
"Small Business Administration","Agency Overall","2022","12","0.00","12.00"
"Armed Forces Retirement Home","Agency Overall","2022","0","0.50","0.50"
"Office of the United States Trade Representative","Agency Overall","2022","0","1.10","1.10"
"Consumer Product Safety Commission","Agency Overall","2022","6","0.00","6.00"
"Department of Defense","Agency Overall","2022","600","427.82","1027.82"
"Federal Election Commission","Agency Overall","2022","1","1.00","2.00"
"Equal Employment Opportunity Commission","Agency Overall","2022","33","2.35","35.35"
"Federal Open Market Committee","Agency Overall","2022","0","1.00","1.00"
"Environmental Protection Agency","Agency Overall","2022","106","93.28","199.28"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","3.00","3.00"
"Administrative Conference of the United States","Agency Overall","2022","0","0.07","0.07"
"Commodity Futures Trading Commission","Agency Overall","2022","2","0.00","2.00"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0.01","0.01"
"Postal Regulatory Commission","Agency Overall","2022","0","1.00","1.00"
"United States Access Board","Agency Overall","2022","0","0.20","0.20"
"Department of Education","Agency Overall","2022","35","41.81","76.81"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0.50","0.50"
"National Mediation Board","Agency Overall","2022","0","1.00","1.00"
"U.S. International Development Finance Corporation","Agency Overall","2022","1","0.75","1.75"
"United States Institute of Peace","Agency Overall","2022","0","0.10","0.10"
"Securities and Exchange Commission","Agency Overall","2022","25","7.17","32.17"
"American Battle Monuments Commission","Agency Overall","2022","0","0.01","0.01"
"United States International Boundary and Water Commission","Agency Overall","2022","0","1.00","1.00"
"National Endowment for the Humanities","Agency Overall","2022","0","0.63","0.63"
"Federal Energy Regulatory Commission","Agency Overall","2022","1","2.36","3.36"
"Legal Services Corporation","Agency Overall","2022","0","0.83","0.83"
"Consumer Financial Protection Bureau","Agency Overall","2022","13","4.42","17.42"
"Department of Commerce","Agency Overall","2022","50","17.44","67.44"
"U.S. Agency for International Development","Agency Overall","2022","16","9.75","25.75"
"Surface Transportation Board","Agency Overall","2022","0","0.11","0.11"
"Department of the Treasury","Agency Overall","2022","57","80.20","137.20"
"National Endowment for the Arts","Agency Overall","2022","0","1.50","1.50"
"Department of Homeland Security","Agency Overall","2022","503","157.94","660.94"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0.01","0.01"
"Office of Government Ethics","Agency Overall","2022","0","2.40","2.40"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","1.00","1.00"
"National Railroad Passenger Corporation","Agency Overall","2022","2","1.00","3.00"
"Federal Labor Relations Authority","Agency Overall","2022","0","1.01","1.01"
"All agencies","Agency Overall","2022","2913","2353.83","5266.83"
