"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Department of Veterans Affairs","Agency Overall","2022","83","668.02","751.02"
"Central Intelligence Agency","Agency Overall","2022","26","36.50","62.50"
"Commission of Fine Arts","Agency Overall","2022","0","0.10","0.10"
"National Science Foundation","Agency Overall","2022","1","2.20","3.20"
"Department of Justice","Agency Overall","2022","442","92.26","534.26"
"Federal Maritime Commission","Agency Overall","2022","1","0.54","1.54"
"Advisory Council on Historic Preservation","Agency Overall","2022","1","0.10","1.10"
"General Services Administration","Agency Overall","2022","11","7.00","18.00"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","1.60","1.60"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","1","0.00","1.00"
"Office of Science and Technology Policy","Agency Overall","2022","3","1.00","4.00"
"United States Trade and Development Agency","Agency Overall","2022","0","0.60","0.60"
"National Aeronautics and Space Administration","Agency Overall","2022","6","4.65","10.65"
"Court Services and Offender Supervision Agency","Agency Overall","2022","3","0.00","3.00"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","1.00","1.00"
"Marine Mammal Commission","Agency Overall","2022","0","0.02","0.02"
"Appraisal Subcommittee","Agency Overall","2022","0","0.05","0.05"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","1","0.00","1.00"
"Office of Management and Budget","Agency Overall","2022","4","3.00","7.00"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0.02","0.02"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","0.45","0.45"
"Federal Housing Finance Agency","Agency Overall","2022","2","1.20","3.20"
"United States Postal Service","Agency Overall","2022","20","2.00","22.00"
"Department of the Interior","Agency Overall","2022","93","39.65","132.65"
"Tennessee Valley Authority","Agency Overall","2022","1","0.25","1.25"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0.01","0.01"
"Millennium Challenge Corporation","Agency Overall","2022","3","4.00","7.00"
