"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Commodity Futures Trading Commission","Agency Overall","2018","16","34.11","<1","209","75","123.37","21","824","16","16","16","16"
"Merit Systems Protection Board","Agency Overall","2018","3","15.63","<1","348","272","298.3","2","868","1","192.67","<1","577"
"United States African Development Foundation","Agency Overall","2018","12","12","2","21","31","31","31","31","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2018","7","11.79","<1","780","630","515","23","942","10","10","9","11"
"Department of Homeland Security","Agency Overall","2018","16","27.37","1","965","103","79.53","1","1593","24","62.36","1","560"
"National Indian Gaming Commission","Agency Overall","2018","7","29","<1","377","137","173","5","484","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2018","142","130.6","1","428","N/A","N/A","N/A","N/A","211","198.8","28","336"
"National Commission on Military, National, and Public Service","Agency Overall","2018","16","16","16","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2018","4","6","<1","18","N/A","N/A","N/A","N/A","15","15","15","15"
"U.S. Agency for Global Media","Agency Overall","2018","28","36.4","1","107","44","99.12","3","553","66.1","62.3","18","100"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","1","1.42","1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2018","12","17.9","<1","211","42.5","78.33","4","309","24","24","24","24"
"Department of Agriculture","Agency Overall","2018","1","12.05","1","1507","22","84.24","1","1531","0.5","18.83","1","92"
"Court Services and Offender Supervision Agency","Agency Overall","2018","21","25.3","<1","188","22.5","32.93","4","194","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2018","14","17.63","<1","316","48","80.43","2","389","50.5","82.96","<1","370"
"Federal Mediation and Conciliation Service","Agency Overall","2018","23","73","<1","367","76","76","76","76","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","9","9","9","9","N/A","N/A","N/A","N/A","1","1","1","1"
"Peace Corps","Agency Overall","2018","115","178.85","1","580","242","230.29","96","336","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2018","9","9.89","<1","73","76","124.24","14","1146","5.5","13.45","1","86"
"Office of National Drug Control Policy","Agency Overall","2018","10","11","1","23","201","222","31","535","77","59","13","87"
"Department of Housing and Urban Development","Agency Overall","2018","16","40.17","<1","665","69.5","96.61","<1","881","8","26.29","1","193"
"Armed Forces Retirement Home","Agency Overall","2018","2","3","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2018","2","2.57","1","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2018","14","14.68","<1","60","57","79.44","18","501","30.5","62.53","1","281"
"Legal Services Corporation","Agency Overall","2018","N/A","11.76","1","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2018","18","16","4","20","30","29","19","33","N/A","N/A","N/A","N/A"
"Inter-American Foundation","Agency Overall","2018","9","22.1","2","126","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","25","35","2","98","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2018","4","14","<1","265","17","39","<1","1402","25","63","3","209"
"Office of Personnel Management","Agency Overall","2018","1","2.7","1","1058","20","30.7","1","1256","N/A","N/A","N/A","N/A"
