"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","2","4.5","1","13","334","335","328","343","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","20","11","1","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2018","20","23.81","<1","399","33.5","85.39","<1","729","45","45","45","45"
"United States Trade and Development Agency","Agency Overall","2018","62","99","6","616","N/A","N/A","N/A","N/A","34","88","18","214"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","N/A","N/A","N/A","N/A","63","78.07","8","247","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2018","6","6.5","2","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2018","18","24.17","1","87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","17.5","20","1","49","156.5","156.5","120","193","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2018","8","9.95","<1","56","28","31.48","<1","97","14","16.67","11","30"
"National Railroad Passenger Corporation","Agency Overall","2018","8","53.07","1","264","36","150.37","1","1015","649","693.62","637","813"
"Department of Health and Human Services","Agency Overall","2018","8.59","16.85","<1","959","26.53","84.94","<1","1828","607.8","567.7","1","1283"
"U.S. Department of State","Agency Overall","2018","401.04","408.88","1","2099","251.96","461.37","5","3003","379.17","435.6","118","754"
"Occupational Safety and Health Review Commission","Agency Overall","2018","5","5.6","1","19","26.5","26.5","24","29","9","9","9","9"
"Office of the United States Trade Representative","Agency Overall","2018","16","17","1","99","102","105","12","222","6","5","3","7"
"Federal Reserve System","Agency Overall","2018","5","8","1","103","36","69","1","397","209","209","209","209"
"U.S. Agency for International Development","Agency Overall","2018","3","3","3","3","128","260.22","<1","1290","702","704.33","408","1003"
"U.S. Election Assistance Commission","Agency Overall","2018","N/A","N/A","N/A","N/A","40","73","1","313","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2018","7","15.02","<1","217","N/A","N/A","N/A","N/A","3","18.58","<1","84"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","10.5","15","<1","70","12","18.6","7","40","7","6","1","10"
"Presidio Trust","Agency Overall","2018","7","7.5","<1","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2018","20","42.45","1","215","252.5","319","169","602","29.5","29.5","5","53"
"Farm Credit Administration","Agency Overall","2018","5","6.38","<1","19","N/A","N/A","N/A","N/A","4","3.33","2","4"
"Federal Housing Finance Agency","Agency Overall","2018","13","16.24","<1","174","51","71.73","5","242","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2018","16","82.25","<1","972","37.5","105.11","<1","1592","46.5","74.12","3","267"
"United States Institute of Peace","Agency Overall","2018","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","4","2","2","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2018","9","22.96","<1","277","42","95.82","<1","464","36","46.75","16","99"
"Overseas Private Investment Corporation","Agency Overall","2018","9.5","21.75","<1","238","30.5","155.3","<1","768","12.5","13.5","5","24"
"Selective Service System","Agency Overall","2018","8","7","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2018","14","23.14","<1","128","172.5","214.84","<1","856","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2018","14","18","1","72","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2018","24","30.77","<1","1120","64","171.75","<1","1658","106","137.87","<1","1110"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","10","10","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2018","9","14","2","59","N/A","N/A","N/A","N/A","38","38","38","38"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","N/A","N/A","N/A","N/A","40","54","34","77","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2018","35","128","1","438","691","751","462","1270","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2018","4","5.125","1","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","6.5","8.81","1","20","N/A","N/A","N/A","N/A","9","9","9","9"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","6","8.57","<1","64","20","23.47","<1","151","20","20","20","20"
"Central Intelligence Agency","Agency Overall","2018","12","32.21","1","1317","306","368.49","4","2555","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","19","35","1","262","N/A","N/A","N/A","N/A","29","24","4","40"
"Advisory Council on Historic Preservation","Agency Overall","2018","N/A","N/A","N/A","N/A","97","97","97","97","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2018","3","5","2","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2018","9","11","1","20","34","39","27","72","13","13","10","15"
"Farm Credit System Insurance Corporation","Agency Overall","2018","1","5.5","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","28","28","28","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2018","3.5","3.7","<1","7","25","37.9","3","108","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2018","24","62.73","<1","471","N/A","N/A","0","0","9.5","24.33","<1","471"
"National Aeronautics and Space Administration","Agency Overall","2018","5","9.06","<1","118","24","34.34","<1","218","8","8","6","10"
"Department of Veterans Affairs","Agency Overall","2018","10","17.68","<1","1506","21","45.08","<1","916","17.5","48.02","<1","508"
"Commission of Fine Arts","Agency Overall","2018","8.5","8.5","5","12","61","61","61","61","9","9","7","11"
"Department of Energy","Agency Overall","2018","20","52.93","<1","934","63","131.94","<1","2347","21","21","21","21"
"Environmental Protection Agency","Agency Overall","2018","16","35.74","<1","961","35","148.65","<1","1793","361","337.43","1","645"
"National Endowment for the Humanities","Agency Overall","2018","16","13.9","1","21","30","31.8","20","59","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2018","7","8.85","1","26","20","20","20","20","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2018","7","24","<1","1154","12","28","<1","2389","11.5","42.8","<1","1027"
"Federal Labor Relations Authority","Agency Overall","2018","5","6.17","<1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2018","9","48","1","657","90","201","1","1284","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2018","30","52","2","781","30","90","10","1056","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2018","11","11.86","<1","251","28","44.94","<1","750","48","53.17","11","135"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","5","8.42","1","27","57","136.6","29","445","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2018","58.5","59","48","69","56","56","56","56","8","6.33","1","10"
"Office of Special Counsel","Agency Overall","2018","21.5","119.03","8","767","407","497.98","1","1667","41.5","173.62","2","932"
"United States Postal Service","Agency Overall","2018","4","8.54","1","388","21","53.41","1","1700","8.5","7.17","1","10"
"Equal Employment Opportunity Commission","Agency Overall","2018","20","46.62","<1","792","39","76.27","<1","322","127","127","17","237"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","10","23","1","165","71","212","19","750","3","3","3","3"
"Department of the Interior","Agency Overall","2018","2","6","<1","112","22","58","<1","1150","31","67","<1","472"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","1","2.4","<1","16","18.5","16.1","2","24","1","1","<1","1"
"Denali Commission","Agency Overall","2018","14","16","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2018","5","11.47","<1","1957","372.5","739.41","<1","4972","5","25","<1","61"
"United States Copyright Office","Agency Overall","2018","10","10.7","4","25","182","126","<1","288","4","4","4","4"
"Social Security Administration","Agency Overall","2018","5","8","<1","286","69","108","1","910","43","47","4","94"
"National Transportation Safety Board","Agency Overall","2018","58","265.99","<1","1211","799.95","749.93","3","1462","169","169","42","296"
"Administrative Conference of the United States","Agency Overall","2018","<1","1.42","<1","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2018","6.5","8.55","<1","32","30","32.98","<1","119","36.5","34.25","14","50"
"Surface Transportation Board","Agency Overall","2018","9","9.7","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2018","20","21.75","3","78","109","131.4","55","244","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2018","7","7.75","1","20","45","59","21","270","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2018","16","30.41","1","226","51","91.91","3","710","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2018","15","45","<1","1665","88","171","<1","2100","29","198","<1","1218"
"National Endowment for the Arts","Agency Overall","2018","10","11","1","27","31","63","9","275","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2018","5","6.1","<1","12","102","102","102","102","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2018","30","45.11","<1","467","60","124.02","<1","2068","9","9","9","9"
"Department of Defense","Agency Overall","2018","15.39","24.6","<1","1780","115.54","178.42","<1","3731","30.84","41.27","<1","982"
"Millennium Challenge Corporation","Agency Overall","2018","34","35","1","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2018","N/A","N/A","N/A","N/A","7.5","37.62","2","160","1","1","<1","1"
"Social Security Advisory Board","Agency Overall","2018","4","2","1","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2018","14.5","46.1","1","1148","49.5","289","3","1148","15","15","15","15"
