"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Department of Energy","Agency Overall","2020","46","20.20","66.20"
"Department of Housing and Urban Development","Agency Overall","2020","199","19.75","218.75"
"U.S. Agency for International Development","Agency Overall","2020","16","8.25","24.25"
"Department of Veterans Affairs","Agency Overall","2020","55","235.14","290.14"
"U.S. Department of State","Agency Overall","2020","110","95.97","205.97"
"Court Services and Offender Supervision Agency","Agency Overall","2020","2","0.00","2.00"
"Institute of Museum and Library Services","Agency Overall","2020","0","0.25","0.25"
"National Endowment for the Arts","Agency Overall","2020","0","1.50","1.50"
"Equal Employment Opportunity Commission","Agency Overall","2020","33","12.53","45.53"
"Export-Import Bank of the U.S.","Agency Overall","2020","3","0.70","3.70"
"Office of Personnel Management","Agency Overall","2020","6","7.82","13.82"
"Department of Labor","Agency Overall","2020","52","120.15","172.15"
"Federal Mediation and Conciliation Service","Agency Overall","2020","0","2.00","2.00"
"Federal Deposit Insurance Corporation","Agency Overall","2020","7","2.00","9.00"
"National Aeronautics and Space Administration","Agency Overall","2020","5","4.33","9.33"
"Advisory Council on Historic Preservation","Agency Overall","2020","0","0.05","0.05"
"Postal Regulatory Commission","Agency Overall","2020","0","1.00","1.00"
"James Madison Memorial Fellowship Foundation","Agency Overall","2020","0","0.10","0.10"
"Peace Corps","Agency Overall","2020","3","0.40","3.40"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2020","1","0.00","1.00"
"Harry S. Truman Scholarship Foundation","Agency Overall","2020","0","0.25","0.25"
"Department of Defense","Agency Overall","2020","507","730.16","1237.16"
"Environmental Protection Agency","Agency Overall","2020","88","176.69","264.69"
"Federal Housing Finance Agency","Agency Overall","2020","0","2.40","2.40"
"National Council on Disability","Agency Overall","2020","0","0.10","0.10"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2020","0","0.50","0.50"
"U.S. Agency for Global Media","Agency Overall","2020","1","1.00","2.00"
"Farm Credit System Insurance Corporation","Agency Overall","2020","0","2.00","2.00"
"National Endowment for the Humanities","Agency Overall","2020","0","0.75","0.75"
"All agencies","Agency Overall","2020","2848","2711.37","5559.37"
